material_label,paper_category,wavelength_um,emissivity,reflectivity,source_file
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,13.9326,0.90671,0.09329,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,13.8581,0.90607,0.09393,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,13.7844,0.90843,0.09157,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,13.7115,0.91107,0.08893,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,13.6393,0.9119,0.0881,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,13.5679,0.91466,0.08534,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,13.4972,0.91553,0.08447,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,13.4273,0.92053,0.07947,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,13.3581,0.91809,0.08191,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,13.2896,0.91647,0.08353,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,13.2218,0.92105,0.07895,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,13.1546,0.92308,0.07692,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,13.0882,0.92251,0.07749,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,13.0224,0.92541,0.07459,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,12.9573,0.92838,0.07162,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,12.8929,0.92987,0.07013,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,12.829,0.92869,0.07131,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,12.7658,0.93181,0.06819,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,12.7033,0.93127,0.06873,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,12.6413,0.93134,0.06866,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,12.5799,0.93428,0.06572,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,12.5192,0.9392,0.0608,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,12.459,0.93843,0.06157,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,12.3994,0.93927,0.06073,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,12.3403,0.94114,0.05886,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,12.2818,0.94311,0.05689,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,12.2239,0.94332,0.05668,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,12.1665,0.9458,0.0542,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,12.1097,0.94817,0.05183,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,12.0533,0.9472,0.0528,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,11.9975,0.94936,0.05064,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,11.9422,0.9512,0.0488,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,11.8875,0.95267,0.04733,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,11.8332,0.95458,0.04542,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,11.7794,0.95488,0.04512,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,11.7261,0.95643,0.04357,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,11.6733,0.95684,0.04316,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,11.6209,0.95712,0.04288,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,11.569,0.95816,0.04184,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,11.5176,0.96108,0.03892,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,11.4667,0.96245,0.03755,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,11.4161,0.96393,0.03607,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,11.3661,0.96437,0.03563,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,11.3164,0.96772,0.03228,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,11.2672,0.97058,0.02942,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,11.2185,0.9734,0.0266,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,11.1701,0.97516,0.02484,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,11.1222,0.9775,0.0225,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,11.0746,0.97604,0.02396,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,11.0275,0.97871,0.02129,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,10.9808,0.98071,0.01929,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,10.9345,0.98213,0.01787,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,10.8885,0.98347,0.01653,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,10.8429,0.98542,0.01458,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,10.7978,0.98918,0.01082,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,10.753,0.98939,0.01061,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,10.7085,0.99035,0.00965,alumdisk.prn
