#TITLE =Black Painted, Anodized Aluminum Disk 
#MEMO =manmade material: positive side of anodice, meas. on 9/26/96, 1024 scans, 4 cm-1
#DATATYPE = DIRECTIONAL HEMISPHERICAL EMISSIVITY SPECTRUM 
#ORIGIN = MODIS GROUP OF ICESS, UCSB
#PI = ZHENGMING WAN
#EMAIL: wan@icess.ucsb.edu
#INSTITUTE FOR COMPUTATIONAL EARTH SCIENCE SYSTEM
#OPERATOR = YULIN ZHANG
#UNIVERSITY OF CALIFORNIA, SANTA BARBARA
#DATE = 0/0/0
#TIME = 0:0
#SPECTROMETER = TIR SPECTROMETER MODEL MIDAC M2510-C
#XUNITS = 1/CM
#YUNITS = ABSOLUTE EMISSIVITY
#FIRSTX = 865.869
#LASTX = 2998.3
#NPOINTS = 600
#DELTAX = 3.85882
#CLASS = FTIR
#FILE NAME:W_ANODIC
#XYDATA=
#X(Micrometer)  #X(cm-1)        #Yvalue
14.5588         686.869         .88915
14.4775         690.728         .892826
14.397          694.587         .892898
14.3175         698.446         .893974
14.2388         702.305         .900228
14.161          706.164         .901739
14.0841         710.022         .902877
14.0079         713.881         .909636
13.9326         717.74          .906708
13.8581         721.599         .906071
13.7844         725.458         .908433
13.7115         729.316         .911066
13.6393         733.175         .911905
13.5679         737.034         .914657
13.4972         740.893         .915529
13.4273         744.752         .920529
13.3581         748.611         .918088
13.2896         752.469         .916474
13.2218         756.328         .921046
13.1546         760.187         .923076
13.0882         764.046         .922508
13.0224         767.905         .925414
12.9573         771.763         .928377
12.8929         775.622         .929873
12.829          779.481         .92869
12.7658         783.34          .931815
12.7033         787.199         .931268
12.6413         791.058         .931341
12.5799         794.916         .934284
12.5192         798.775         .939197
12.459          802.634         .938429
12.3994         806.493         .939274
12.3403         810.352         .941141
12.2818         814.21          .943112
12.2239         818.069         .943315
12.1665         821.928         .945797
12.1097         825.787         .948165
12.0533         829.646         .9472
11.9975         833.505         .949359
11.9422         837.363         .951196
11.8875         841.222         .952674
11.8332         845.081         .954584
11.7794         848.94          .954885
11.7261         852.799         .956426
11.6733         856.657         .956837
11.6209         860.516         .957117
11.569          864.375         .958164
11.5176         868.234         .961084
11.4667         872.093         .962448
11.4161         875.952         .96393
11.3661         879.81          .964372
11.3164         883.669         .967718
11.2672         887.528         .970576
11.2185         891.387         .973402
11.1701         895.246         .975163
11.1222         899.104         .9775
11.0746         902.963         .976036
11.0275         906.822         .978714
10.9808         910.681         .980713
10.9345         914.54          .982135
10.8885         918.399         .983469
10.8429         922.257         .985419
10.7978         926.116         .989177
10.753          929.975         .989392
10.7085         933.834         .990348
10.6645         937.693         .993445
10.6208         941.551         .994626
10.5774         945.41          .994417
10.5344         949.269         .991907
10.4918         953.128         .993845
10.4495         956.987         .994789
10.4075         960.846         .993109
10.3659         964.704         .994489
10.3246         968.563         .992733
10.2836         972.422         .991445
10.2429         976.281         .992466
10.2026         980.14          .991373
10.1626         983.998         .989732
10.1229         987.857         .987995
10.0835         991.716         .986553
10.0444         995.575         .985706
10.0057         999.434         .983415
9.96718         1003.29         .980832
9.92899         1007.15         .98171
9.8911          1011.01         .981503
9.85349         1014.87         .981156
9.81616         1018.73         .981062
9.77912         1022.59         .980205
9.74236         1026.44         .981475
9.70587         1030.3          .978702
9.66965         1034.16         .978747
9.63371         1038.02         .978297
9.59803         1041.88         .979433
9.56261         1045.74         .978552
9.52745         1049.6          .979484
9.49255         1053.46         .979826
9.45791         1057.32         .978458
9.42352         1061.17         .981295
9.38937         1065.03         .976968
9.35548         1068.89         .976001
9.32182         1072.75         .976114
9.28841         1076.61         .977203
9.25524         1080.47         .974041
9.2223          1084.33         .974402
9.1896          1088.19         .975052
9.15713         1092.04         .975637
9.12488         1095.9          .975279
9.09287         1099.76         .973341
9.06107         1103.62         .975795
9.0295          1107.48         .974861
8.99815         1111.34         .97534
8.96701         1115.2          .975962
8.93609         1119.06         .977668
8.90538         1122.91         .978563
8.87489         1126.77         .979481
8.8446          1130.63         .979278
8.81451         1134.49         .980773
8.78463         1138.35         .981361
8.75496         1142.21         .982534
8.72548         1146.07         .981917
8.6962          1149.93         .9815
8.66711         1153.79         .981717
8.63822         1157.64         .98223
8.60952         1161.5          .984905
8.58102         1165.36         .98436
8.5527          1169.22         .98378
8.52456         1173.08         .986103
8.49661         1176.94         .983856
8.46885         1180.8          .985137
8.44126         1184.66         .98551
8.41385         1188.51         .985731
8.38662         1192.37         .985388
8.35957         1196.23         .984419
8.33269         1200.09         .986362
