#TITLE =Black Painted, Anodized Aluminum Grate
#MEMO =* manmade : long srip anodice, meas. on 9/26/96, 1024 scans, 4 cm-1
#DATATYPE = DIRECTIONAL HEMISPHERICAL EMISSIVITY SPECTRUM 
#ORIGIN = MODIS GROUP OF ICESS, UCSB
#PI = ZHENGMING WAN
#EMAIL: wan@icess.ucsb.edu
#INSTITUTE FOR COMPUTATIONAL EARTH SCIENCE SYSTEM
#OPERATOR = YULIN ZHANG
#UNIVERSITY OF CALIFORNIA, SANTA BARBARA
#DATE = 0/0/0
#TIME = 0:0
#SPECTROMETER = TIR SPECTROMETER MODEL MIDAC M2510-C
#XUNITS = 1/CM
#YUNITS = ABSOLUTE EMISSIVITY
#FIRSTX = 686.869
#LASTX = 2998.3
#NPOINTS = 600
#DELTAX = 3.85882
#CLASS = FTIR
#FILE NAME:W_ANDLNG
#XYDATA=
#X(Micrometer)  #X(cm-1)        #Yvalue
14.5588         686.869         .885122
14.4775         690.728         .890557
14.397          694.587         .893763
14.3175         698.446         .891189
14.2388         702.305         .890159
14.161          706.164         .888817
14.0841         710.022         .890586
14.0079         713.881         .891467
13.9326         717.74          .891916
13.8581         721.599         .895167
13.7844         725.458         .893955
13.7115         729.316         .896328
13.6393         733.175         .899047
13.5679         737.034         .900823
13.4972         740.893         .904437
13.4273         744.752         .903258
13.3581         748.611         .901442
13.2896         752.469         .902686
13.2218         756.328         .904663
13.1546         760.187         .899789
13.0882         764.046         .908297
13.0224         767.905         .90583
12.9573         771.763         .905236
12.8929         775.622         .906547
12.829          779.481         .90764
12.7658         783.34          .906071
12.7033         787.199         .905355
12.6413         791.058         .909014
12.5799         794.916         .906174
12.5192         798.775         .9105
12.459          802.634         .912856
12.3994         806.493         .912778
12.3403         810.352         .914821
12.2818         814.21          .914214
12.2239         818.069         .916539
12.1665         821.928         .916395
12.1097         825.787         .917426
12.0533         829.646         .919505
11.9975         833.505         .919674
11.9422         837.363         .924896
11.8875         841.222         .924677
11.8332         845.081         .927632
11.7794         848.94          .928855
11.7261         852.799         .933157
11.6733         856.657         .933832
11.6209         860.516         .936721
11.569          864.375         .93789
11.5176         868.234         .939994
11.4667         872.093         .942744
11.4161         875.952         .942497
11.3661         879.81          .945683
11.3164         883.669         .949411
11.2672         887.528         .952419
11.2185         891.387         .953003
11.1701         895.246         .958396
11.1222         899.104         .958927
11.0746         902.963         .960431
11.0275         906.822         .962131
10.9808         910.681         .96467
10.9345         914.54          .968135
10.8885         918.399         .970702
10.8429         922.257         .974482
10.7978         926.116         .976736
10.753          929.975         .980203
10.7085         933.834         .981747
10.6645         937.693         .983037
10.6208         941.551         .984587
10.5774         945.41          .986991
10.5344         949.269         .989298
10.4918         953.128         .987953
10.4495         956.987         .989339
10.4075         960.846         .98801
10.3659         964.704         .988303
10.3246         968.563         .989519
10.2836         972.422         .990425
10.2429         976.281         .991022
10.2026         980.14          .99095
10.1626         983.998         .989942
10.1229         987.857         .990289
10.0835         991.716         .987262
10.0444         995.575         .987018
10.0057         999.434         .987136
9.96718         1003.29         .986278
9.92899         1007.15         .985114
9.8911          1011.01         .984472
9.85349         1014.87         .981829
9.81616         1018.73         .981121
9.77912         1022.59         .980312
9.74236         1026.44         .981182
9.70587         1030.3          .979209
9.66965         1034.16         .977305
9.63371         1038.02         .979047
9.59803         1041.88         .977779
9.56261         1045.74         .977643
9.52745         1049.6          .980042
9.49255         1053.46         .978955
9.45791         1057.32         .978846
9.42352         1061.17         .978737
9.38937         1065.03         .977786
9.35548         1068.89         .97646
9.32182         1072.75         .977378
9.28841         1076.61         .978478
9.25524         1080.47         .975694
9.2223          1084.33         .975357
9.1896          1088.19         .975783
9.15713         1092.04         .975569
9.12488         1095.9          .97626
9.09287         1099.76         .974415
9.06107         1103.62         .977834
9.0295          1107.48         .976826
8.99815         1111.34         .978184
8.96701         1115.2          .97743
8.93609         1119.06         .976124
8.90538         1122.91         .978495
8.87489         1126.77         .977008
8.8446          1130.63         .979576
8.81451         1134.49         .978524
8.78463         1138.35         .978867
8.75496         1142.21         .976774
8.72548         1146.07         .979086
8.6962          1149.93         .981517
8.66711         1153.79         .981629
8.63822         1157.64         .981701
8.60952         1161.5          .980331
8.58102         1165.36         .983372
8.5527          1169.22         .984733
8.52456         1173.08         .984292
8.49661         1176.94         .983323
8.46885         1180.8          .983984
8.44126         1184.66         .985479
8.41385         1188.51         .984313
8.38662         1192.37         .984996
8.35957         1196.23         .985857
8.33269         1200.09         .983418
8.30598         1203.95         .984625
8.27945         1207.81         .984384
8.25308         1211.67         .985171
8.22688         1215.53         .984806
8.20084         1219.39         .985474
8.17497         1223.24         .985921
8.14927         1227.1          .986497
8.12372         1230.96         .986557
8.09833         1234.82         .987596
8.07311         1238.68         .988091
8.04803         1242.54         .988001
8.02312         1246.4          .987998
7.99835         1250.26         .988404
7.97374         1254.11         .987667
7.94929         1257.97         .986514
7.92498         1261.83         .987269
7.90081         1265.69         .987194
7.8768          1269.55         .988228
7.85293         1273.41         .986366
7.82921         1277.27         .987034
7.80562         1281.13         .983912
7.78218         1284.99         .985728
7.75888         1288.84         .984867
7.73572         1292.7          .985068
7.7127          1296.56         .984487
7.68981         1300.42         .98394
7.66706         1304.28         .984079
7.64445         1308.14         .983426
7.62196         1312            .984407
7.59961         1315.86         .982742
7.57739         1319.71         .982386
7.5553          1323.57         .981551
7.53333         1327.43         .982197
7.5115          1331.29         .980928
7.48979         1335.15         .979836
7.4682          1339.01         .977597
7.44674         1342.87         .978703
7.42541         1346.73         .978278
7.40419         1350.59         .976491
7.3831          1354.44         .976315
7.36212         1358.3          .976664
7.34127         1362.16         .974222
7.32053         1366.02         .974564
7.29991         1369.88         .973391
7.2794          1373.74         .969144
7.25901         1377.6          .966647
7.23873         1381.46         .964143
7.21857         1385.31         .961265
7.19852         1389.17         .954512
7.17858         1393.03         .950574
7.15875         1396.89         .942007
7.13903         1400.75         .937034
7.11941         1404.61         .930989
7.09991         1408.47         .926352
7.08051         1412.33         .922221
7.06122         1416.19         .914152
7.04203         1420.04         .909948
7.02295         1423.9          .905303
7.00396         1427.76         .903244
6.98509         1431.62         .900452
6.96631         1435.48         .899978
6.94763         1439.34         .897204
6.92906         1443.2          .894663
6.91058         1447.06         .893734
6.8922          1450.91         .894994
6.87392         1454.77         .897239
6.85573         1458.63         .89573
6.83764         1462.49         .889644
6.81965         1466.35         .886816
6.80175         1470.21         .886203
6.78394         1474.07         .884128
6.76623         1477.93         .880801
6.74861         1481.79         .877256
6.73108         1485.64         .874887
6.71364         1489.5          .877595
6.6963          1493.36         .872952
6.67904         1497.22         .870159
6.66187         1501.08         .86503
6.64479         1504.94         .87049
6.62779         1508.8          .872918
6.61088         1512.66         .866526
6.59406         1516.51         .869866
6.57733         1520.37         .866463
6.56068         1524.23         .870459
6.54411         1528.09         .864101
6.52762         1531.95         .864855
6.51122         1535.81         .871255
6.4949          1539.67         .875375
6.47867         1543.53         .876638
6.46251         1547.38         .881592
6.44644         1551.24         .886068
6.43044         1555.1          .890723
6.41452         1558.96         .898279
6.39868         1562.82         .899616
6.38292         1566.68         .90668
6.36724         1570.54         .911394
6.35163         1574.4          .916221
6.3361          1578.26         .922125
6.32065         1582.11         .926364
6.30527         1585.97         .927784
6.28997         1589.83         .928296
6.27474         1593.69         .931199
6.25958         1597.55         .932859
6.2445          1601.41         .934776
6.22949         1605.27         .934886
6.21455         1609.13         .93399
6.19968         1612.98         .931013
6.18489         1616.84         .929676
6.17016         1620.7          .931179
6.1555          1624.56         .929359
6.14092         1628.42         .927642
6.1264          1632.28         .926506
6.11195         1636.14         .920659
6.09757         1640            .919546
6.08326         1643.86         .913406
6.06901         1647.71         .905432
6.05483         1651.57         .901873
6.04072         1655.43         .900672
6.02667         1659.29         .892517
6.01268         1663.15         .888571
5.99877         1667.01         .89112
5.98491         1670.87         .879366
5.97112         1674.73         .872638
5.9574          1678.58         .868719
5.94373         1682.44         .862697
