#TITLE = Sample 1 - Aluminum Color Paint on Sandpaper
#MEMO =manmade material: paint aluminium on sand_paper meas. on 9/26/96, 1024 scan 4 cm-1
#DATATYPE = DIRECTIONAL HEMISPHERICAL EMISSIVITY SPECTRUM 
#ORIGIN = MODIS GROUP OF ICESS, UCSB
#PI = ZHENGMING WAN
#EMAIL: wan@icess.ucsb.edu
#INSTITUTE FOR COMPUTATIONAL EARTH SCIENCE SYSTEM
#OPERATOR = YULIN ZHANG
#UNIVERSITY OF CALIFORNIA, SANTA BARBARA
#DATE = 0/0/0
#TIME = 0:0
#SPECTROMETER = TIR SPECTROMETER MODEL MIDAC M2510-C
#XUNITS = 1/CM
#YUNITS = ABSOLUTE EMISSIVITY
#FIRSTX = 686.869
#LASTX = 2998.3
#NPOINTS = 600
#DELTAX = 3.85882
#CLASS = FTIR
#FILE NAME:W_AL2
#XYDATA=
#X(Micrometer)  #X(cm-1)        #Yvalue
14.5588         686.869         .351524
14.4775         690.728         .352533
14.397          694.587         .353127
14.3175         698.446         .354287
14.2388         702.305         .355983
14.161          706.164         .357553
14.0841         710.022         .358096
14.0079         713.881         .359711
13.9326         717.74          .360509
13.8581         721.599         .360054
13.7844         725.458         .359134
13.7115         729.316         .358862
13.6393         733.175         .358725
13.5679         737.034         .357994
13.4972         740.893         .356644
13.4273         744.752         .355748
13.3581         748.611         .354766
13.2896         752.469         .353866
13.2218         756.328         .352992
13.1546         760.187         .352637
13.0882         764.046         .352197
13.0224         767.905         .352513
12.9573         771.763         .353342
12.8929         775.622         .354369
12.829          779.481         .354899
12.7658         783.34          .355928
12.7033         787.199         .357508
12.6413         791.058         .359334
12.5799         794.916         .360856
12.5192         798.775         .362065
12.459          802.634         .362921
12.3994         806.493         .363355
12.3403         810.352         .363658
12.2818         814.21          .364128
12.2239         818.069         .363631
12.1665         821.928         .362851
12.1097         825.787         .361801
12.0533         829.646         .36083
11.9975         833.505         .359877
11.9422         837.363         .358549
11.8875         841.222         .357597
11.8332         845.081         .356497
11.7794         848.94          .355624
11.7261         852.799         .354782
11.6733         856.657         .353853
11.6209         860.516         .352933
11.569          864.375         .352018
11.5176         868.234         .35147
11.4667         872.093         .351453
11.4161         875.952         .351366
11.3661         879.81          .351411
11.3164         883.669         .351308
11.2672         887.528         .351326
11.2185         891.387         .351613
11.1701         895.246         .351777
11.1222         899.104         .352049
11.0746         902.963         .351934
11.0275         906.822         .351761
10.9808         910.681         .351762
10.9345         914.54          .351598
10.8885         918.399         .351315
10.8429         922.257         .351052
10.7978         926.116         .350672
10.753          929.975         .350437
10.7085         933.834         .349819
10.6645         937.693         .34938
10.6208         941.551         .348993
10.5774         945.41          .348348
10.5344         949.269         .347824
10.4918         953.128         .347063
10.4495         956.987         .346567
10.4075         960.846         .346176
10.3659         964.704         .345922
10.3246         968.563         .345832
10.2836         972.422         .34562
10.2429         976.281         .345202
10.2026         980.14          .344913
10.1626         983.998         .345113
10.1229         987.857         .34527
10.0835         991.716         .345371
10.0444         995.575         .345291
10.0057         999.434         .345296
9.96718         1003.29         .34544
9.92899         1007.15         .345702
9.8911          1011.01         .346103
9.85349         1014.87         .34633
9.81616         1018.73         .346142
9.77912         1022.59         .346305
9.74236         1026.44         .346497
9.70587         1030.3          .346775
9.66965         1034.16         .346978
9.63371         1038.02         .347144
9.59803         1041.88         .347316
9.56261         1045.74         .347068
9.52745         1049.6          .347387
9.49255         1053.46         .347868
9.45791         1057.32         .348736
9.42352         1061.17         .349113
9.38937         1065.03         .349686
9.35548         1068.89         .35017
9.32182         1072.75         .350774
9.28841         1076.61         .35145
9.25524         1080.47         .352486
9.2223          1084.33         .353332
9.1896          1088.19         .353798
