#TITLE =Sample 3 - Aluminum Color Paint on Sandpaper
#MEMO =emissivity of painted aluminium on sand paper
#DATATYPE = DIRECTIONAL HEMISPHERICAL EMISSIVITY SPECTRUM 
#ORIGIN = MODIS GROUP OF ICESS, UCSB
#PI = ZHENGMING WAN
#EMAIL: wan@icess.ucsb.edu
#INSTITUTE FOR COMPUTATIONAL EARTH SCIENCE SYSTEM
#OPERATOR = YULIN ZHANG
#UNIVERSITY OF CALIFORNIA, SANTA BARBARA
#DATE = 0/0/0
#TIME = 0:0
#SPECTROMETER = TIR SPECTROMETER MODEL MIDAC M2510-C
#XUNITS = 1/CM
#YUNITS = ABSOLUTE EMISSIVITY
#FIRSTX = 686.869
#LASTX = 2998.3
#NPOINTS = 600
#DELTAX = 3.85882
#CLASS = FTIR
#FILE NAME:NEW02
#XYDATA=
#X(Micrometer)  #X(cm-1)        #Yvalue
14.5588         686.869         .332282
14.4775         690.728         .333058
14.397          694.587         .333602
14.3175         698.446         .336305
14.2388         702.305         .341979
14.161          706.164         .344881
14.0841         710.022         .348777
14.0079         713.881         .343159
13.9326         717.74          .34707
13.8581         721.599         .343144
13.7844         725.458         .340792
13.7115         729.316         .347946
13.6393         733.175         .345923
13.5679         737.034         .341141
13.4972         740.893         .341024
13.4273         744.752         .337925
13.3581         748.611         .336455
13.2896         752.469         .335781
13.2218         756.328         .335255
13.1546         760.187         .336741
13.0882         764.046         .337079
13.0224         767.905         .339338
12.9573         771.763         .339615
12.8929         775.622         .339758
12.829          779.481         .343545
12.7658         783.34          .344917
12.7033         787.199         .341788
12.6413         791.058         .338186
12.5799         794.916         .339259
12.5192         798.775         .339054
12.459          802.634         .340297
12.3994         806.493         .343696
12.3403         810.352         .342633
12.2818         814.21          .347462
12.2239         818.069         .34432
12.1665         821.928         .344089
12.1097         825.787         .346048
12.0533         829.646         .341315
11.9975         833.505         .34086
11.9422         837.363         .338733
11.8875         841.222         .33943
11.8332         845.081         .341936
11.7794         848.94          .340096
11.7261         852.799         .338546
11.6733         856.657         .338175
11.6209         860.516         .340401
11.569          864.375         .340478
11.5176         868.234         .339271
11.4667         872.093         .338107
11.4161         875.952         .340947
11.3661         879.81          .340251
11.3164         883.669         .341396
11.2672         887.528         .337638
11.2185         891.387         .338517
11.1701         895.246         .33877
11.1222         899.104         .340567
11.0746         902.963         .340459
11.0275         906.822         .340607
10.9808         910.681         .341997
10.9345         914.54          .341065
10.8885         918.399         .343554
10.8429         922.257         .343362
10.7978         926.116         .343734
10.753          929.975         .341476
10.7085         933.834         .342664
10.6645         937.693         .341809
10.6208         941.551         .340353
10.5774         945.41          .340666
10.5344         949.269         .339837
10.4918         953.128         .339077
10.4495         956.987         .339705
10.4075         960.846         .338089
10.3659         964.704         .34052
10.3246         968.563         .339155
10.2836         972.422         .340119
10.2429         976.281         .339136
10.2026         980.14          .340713
10.1626         983.998         .340663
10.1229         987.857         .340511
10.0835         991.716         .34054
10.0444         995.575         .340202
10.0057         999.434         .342491
9.96718         1003.29         .340493
9.92899         1007.15         .341205
9.8911          1011.01         .342475
9.85349         1014.87         .343986
9.81616         1018.73         .34372
9.77912         1022.59         .342711
9.74236         1026.44         .341985
9.70587         1030.3          .342883
9.66965         1034.16         .341754
9.63371         1038.02         .342684
9.59803         1041.88         .340501
9.56261         1045.74         .342163
9.52745         1049.6          .34207
9.49255         1053.46         .342584
9.45791         1057.32         .342399
9.42352         1061.17         .343746
9.38937         1065.03         .343828
9.35548         1068.89         .344235
9.32182         1072.75         .3461
9.28841         1076.61         .347985
9.25524         1080.47         .346422
9.2223          1084.33         .346353
9.1896          1088.19         .349034
9.15713         1092.04         .353017
9.12488         1095.9          .353437
9.09287         1099.76         .353803
9.06107         1103.62         .352424
9.0295          1107.48         .350755
8.99815         1111.34         .352132
8.96701         1115.2          .354565
8.93609         1119.06         .352738
8.90538         1122.91         .354144
8.87489         1126.77         .352743
8.8446          1130.63         .352535
8.81451         1134.49         .352399
8.78463         1138.35         .352984
8.75496         1142.21         .352124
8.72548         1146.07         .354819
8.6962          1149.93         .354118
8.66711         1153.79         .354588
8.63822         1157.64         .354058
8.60952         1161.5          .353893
8.58102         1165.36         .355408
8.5527          1169.22         .353497
8.52456         1173.08         .35271
8.49661         1176.94         .352341
8.46885         1180.8          .351595
8.44126         1184.66         .35114
8.41385         1188.51         .350394
8.38662         1192.37         .349729
8.35957         1196.23         .350147
8.33269         1200.09         .351681
8.30598         1203.95         .35255
8.27945         1207.81         .352576
8.25308         1211.67         .354898
8.22688         1215.53         .355917
8.20084         1219.39         .357399
8.17497         1223.24         .358756
8.14927         1227.1          .358736
8.12372         1230.96         .358406
8.09833         1234.82         .357539
8.07311         1238.68         .355269
8.04803         1242.54         .354643
8.02312         1246.4          .355337
7.99835         1250.26         .352868
7.97374         1254.11         .350693
7.94929         1257.97         .348055
