#TITLE =Emissivity of Asphalt 
#MEMO =emissivity of asphalt (or bitumen) meas. on 10/16/96
#DATATYPE = DIRECTIONAL HEMISPHERICAL EMISSIVITY SPECTRUM 
#ORIGIN = MODIS GROUP OF ICESS, UCSB
#PI = ZHENGMING WAN
#EMAIL: wan@icess.ucsb.edu
#INSTITUTE FOR COMPUTATIONAL EARTH SCIENCE SYSTEM
#OPERATOR = YULIN ZHANG
#UNIVERSITY OF CALIFORNIA, SANTA BARBARA
#DATE = 0/0/0
#TIME = 0:0
#SPECTROMETER = TIR SPECTROMETER MODEL MIDAC M2510-C
#XUNITS = 1/CM
#YUNITS = ABSOLUTE EMISSIVITY
#FIRSTX = 686.869
#LASTX = 2998.3
#NPOINTS = 600
#DELTAX = 3.85882
#CLASS = FTIR
#FILE NAME:ASPHALT
#XYDATA=
#X(Micrometer)  #X(cm-1)        #Yvalue
14.5588         686.869         .979743
14.4775         690.728         .979492
14.397          694.587         .979325
14.3175         698.446         .979999
14.2388         702.305         .979775
14.161          706.164         .979935
14.0841         710.022         .979823
14.0079         713.881         .979899
13.9326         717.74          .97924
13.8581         721.599         .977937
13.7844         725.458         .976844
13.7115         729.316         .975903
13.6393         733.175         .975046
13.5679         737.034         .974588
13.4972         740.893         .974536
13.4273         744.752         .974434
13.3581         748.611         .974496
13.2896         752.469         .974257
13.2218         756.328         .97444
13.1546         760.187         .974218
13.0882         764.046         .974305
13.0224         767.905         .97473
12.9573         771.763         .97528
12.8929         775.622         .975431
12.829          779.481         .975255
12.7658         783.34          .974855
12.7033         787.199         .974444
12.6413         791.058         .973861
12.5799         794.916         .973589
12.5192         798.775         .973692
12.459          802.634         .973635
12.3994         806.493         .973817
12.3403         810.352         .973499
12.2818         814.21          .973404
12.2239         818.069         .973378
12.1665         821.928         .973407
12.1097         825.787         .973239
12.0533         829.646         .973236
11.9975         833.505         .973487
11.9422         837.363         .973744
11.8875         841.222         .973584
11.8332         845.081         .973099
11.7794         848.94          .972269
11.7261         852.799         .971937
11.6733         856.657         .971698
11.6209         860.516         .971596
11.569          864.375         .97092
11.5176         868.234         .970377
11.4667         872.093         .970519
11.4161         875.952         .970343
11.3661         879.81          .970407
11.3164         883.669         .970317
11.2672         887.528         .970684
11.2185         891.387         .970886
11.1701         895.246         .970969
11.1222         899.104         .971109
11.0746         902.963         .97121
11.0275         906.822         .971402
10.9808         910.681         .971256
10.9345         914.54          .971026
10.8885         918.399         .970874
10.8429         922.257         .970933
10.7978         926.116         .970865
10.753          929.975         .970459
10.7085         933.834         .970286
10.6645         937.693         .970191
10.6208         941.551         .970213
10.5774         945.41          .969994
10.5344         949.269         .970189
10.4918         953.128         .970234
10.4495         956.987         .970391
10.4075         960.846         .970034
10.3659         964.704         .970155
10.3246         968.563         .970154
10.2836         972.422         .970231
10.2429         976.281         .969925
10.2026         980.14          .969688
10.1626         983.998         .969678
10.1229         987.857         .969361
10.0835         991.716         .96906
10.0444         995.575         .968552
10.0057         999.434         .968556
9.96718         1003.29         .968653
9.92899         1007.15         .969053
9.8911          1011.01         .968876
9.85349         1014.87         .968838
9.81616         1018.73         .968324
9.77912         1022.59         .968432
9.74236         1026.44         .968534
9.70587         1030.3          .968804
9.66965         1034.16         .969333
9.63371         1038.02         .969484
9.59803         1041.88         .96952
9.56261         1045.74         .968926
9.52745         1049.6          .968639
9.49255         1053.46         .968747
9.45791         1057.32         .968914
9.42352         1061.17         .969213
9.38937         1065.03         .969176
9.35548         1068.89         .969197
9.32182         1072.75         .96921
9.28841         1076.61         .969207
9.25524         1080.47         .96909
9.2223          1084.33         .968695
9.1896          1088.19         .968213
9.15713         1092.04         .967606
9.12488         1095.9          .967012
9.09287         1099.76         .966402
9.06107         1103.62         .965972
9.0295          1107.48         .965756
8.99815         1111.34         .965677
8.96701         1115.2          .965455
8.93609         1119.06         .965201
8.90538         1122.91         .965416
8.87489         1126.77         .965913
8.8446          1130.63         .966637
8.81451         1134.49         .966865
8.78463         1138.35         .967272
8.75496         1142.21         .967681
8.72548         1146.07         .968367
8.6962          1149.93         .969272
8.66711         1153.79         .969597
8.63822         1157.64         .970372
8.60952         1161.5          .970676
8.58102         1165.36         .970967
8.5527          1169.22         .97074
8.52456         1173.08         .970855
8.49661         1176.94         .971284
8.46885         1180.8          .971743
8.44126         1184.66         .971951
8.41385         1188.51         .972287
8.38662         1192.37         .972648
8.35957         1196.23         .973046
8.33269         1200.09         .973576
8.30598         1203.95         .973974
8.27945         1207.81         .974763
8.25308         1211.67         .974992
8.22688         1215.53         .975331
8.20084         1219.39         .975758
8.17497         1223.24         .976526
8.14927         1227.1          .977187
8.12372         1230.96         .977486
8.09833         1234.82         .977728
8.07311         1238.68         .977956
8.04803         1242.54         .978229
8.02312         1246.4          .978124
7.99835         1250.26         .977837
7.97374         1254.11         .977489
7.94929         1257.97         .977451
7.92498         1261.83         .977923
7.90081         1265.69         .978498
7.8768          1269.55         .978899
7.85293         1273.41         .978979
7.82921         1277.27         .978855
7.80562         1281.13         .978722
7.78218         1284.99         .978669
7.75888         1288.84         .978645
7.73572         1292.7          .978735
7.7127          1296.56         .978715
7.68981         1300.42         .978656
7.66706         1304.28         .978643
7.64445         1308.14         .978577
7.62196         1312            .97847
7.59961         1315.86         .978314
7.57739         1319.71         .978152
7.5553          1323.57         .977995
7.53333         1327.43         .977856
7.5115          1331.29         .977528
7.48979         1335.15         .977165
7.4682          1339.01         .977059
7.44674         1342.87         .977184
7.42541         1346.73         .977314
7.40419         1350.59         .976963
7.3831          1354.44         .976641
7.36212         1358.3          .976445
7.34127         1362.16         .976756
7.32053         1366.02         .977117
7.29991         1369.88         .977366
7.2794          1373.74         .977661
7.25901         1377.6          .977946
7.23873         1381.46         .978375
7.21857         1385.31         .97819
7.19852         1389.17         .977568
7.17858         1393.03         .976985
7.15875         1396.89         .976774
7.13903         1400.75         .976808
7.11941         1404.61         .976568
7.09991         1408.47         .976206
7.08051         1412.33         .976091
7.06122         1416.19         .975877
7.04203         1420.04         .976172
7.02295         1423.9          .97635
7.00396         1427.76         .976903
6.98509         1431.62         .976994
6.96631         1435.48         .977339
6.94763         1439.34         .978018
6.92906         1443.2          .978549
6.91058         1447.06         .979
6.8922          1450.91         .979097
6.87392         1454.77         .979187
6.85573         1458.63         .979402
6.83764         1462.49         .979281
6.81965         1466.35         .979366
6.80175         1470.21         .978896
6.78394         1474.07         .978656
6.76623         1477.93         .977874
6.74861         1481.79         .977161
6.73108         1485.64         .97669
6.71364         1489.5          .97639
6.6963          1493.36         .976024
6.67904         1497.22         .974922
6.66187         1501.08         .973825
6.64479         1504.94         .973465
6.62779         1508.8          .973454
6.61088         1512.66         .974047
6.59406         1516.51         .973352
6.57733         1520.37         .973318
6.56068         1524.23         .972687
6.54411         1528.09         .972528
6.52762         1531.95         .971978
6.51122         1535.81         .97124
6.4949          1539.67         .97107
6.47867         1543.53         .971311
6.46251         1547.38         .971949
6.44644         1551.24         .972082
6.43044         1555.1          .97188
6.41452         1558.96         .971546
6.39868         1562.82         .971554
6.38292         1566.68         .971928
6.36724         1570.54         .972843
6.35163         1574.4          .973194
6.3361          1578.26         .973122
6.32065         1582.11         .973024
6.30527         1585.97         .973575
6.28997         1589.83         .974237
6.27474         1593.69         .974507
6.25958         1597.55         .974308
6.2445          1601.41         .97409
6.22949         1605.27         .974208
6.21455         1609.13         .974545
6.19968         1612.98         .97376
6.18489         1616.84         .973512
6.17016         1620.7          .973211
6.1555          1624.56         .973915
6.14092         1628.42         .973793
6.1264          1632.28         .973728
6.11195         1636.14         .974045
6.09757         1640            .974521
6.08326         1643.86         .9746
6.06901         1647.71         .974839
6.05483         1651.57         .974549
6.04072         1655.43         .974913
6.02667         1659.29         .975398
6.01268         1663.15         .976057
5.99877         1667.01         .976306
5.98491         1670.87         .975454
5.97112         1674.73         .975449
5.9574          1678.58         .974992
5.94373         1682.44         .975138
5.93013         1686.3          .974878
5.91659         1690.16         .975672
5.90311         1694.02         .976151
5.8897          1697.88         .976434
5.87634         1701.74         .976998
5.86305         1705.6          .977682
5.84981         1709.46         .978509
5.83664         1713.31         .979145
5.82352         1717.17         .9791
5.81046         1721.03         .979553
5.79746         1724.89         .979679
5.78452         1728.75         .980378
5.77164         1732.61         .980636
5.75882         1736.47         .981114
5.74605         1740.33         .981397
5.73333         1744.18         .981235
5.72068         1748.04         .980867
5.70808         1751.9          .980821
5.69553         1755.76         .980836
5.68304         1759.62         .980874
5.67061         1763.48         .980715
5.65822         1767.34         .980933
5.6459          1771.2          .98102
5.63362         1775.06         .98077
5.6214          1778.91         .980515
5.60924         1782.77         .980124
5.59712         1786.63         .980016
5.58506         1790.49         .980117
5.57305         1794.35         .979443
5.56109         1798.21         .978961
5.54918         1802.07         .978216
5.53732         1805.93         .978377
5.52552         1809.78         .978209
5.51376         1813.64         .97765
5.50205         1817.5          .976465
5.4904          1821.36         .97466
5.47879         1825.22         .973327
5.46723         1829.08         .972257
