#TITLE =Beige Tile 8x8
#DATATYPE = DIRECTIONAL HEMISPHERICAL EMISSIVITY SPECTRUM 
#ORIGIN = MODIS GROUP OF ICESS, UCSB
#PI = ZHENGMING WAN
#EMAIL: wan@icess.ucsb.edu
#INSTITUTE FOR COMPUTATIONAL EARTH SCIENCE SYSTEM
#UNIVERSITY OF CALIFORNIA, SANTA BARBARA
#OPERATOR = YULIN ZHANG
#DATE = 0/0/0
#TIME = 0:0
#SPECTROMETER = TIR SPECTROMETER MODEL MIDAC M2510-C
#XUNITS = 1/CM
#YUNITS = ABSOLUTE EMISSIVITY
#FIRSTX = 686.869
#LASTX = 2998.3
#NPOINTS = 600
#DELTAX = 3.85882
#CLASS = FTIR
#FILE NAME:28
#XYDATA=
#X(Micrometer)  #X(cm-1)        #Yvalue
14.5588         686.869         .947478
14.4775         690.728         .950627
14.397          694.587         .945479
14.3175         698.446         .945162
14.2388         702.305         .947143
14.161          706.164         .94361
14.0841         710.022         .943947
14.0079         713.881         .941031
13.9326         717.74          .944149
13.8581         721.599         .94673
13.7844         725.458         .942756
13.7115         729.316         .940942
13.6393         733.175         .942616
13.5679         737.034         .94096
13.4972         740.893         .937226
13.4273         744.752         .939221
13.3581         748.611         .938979
13.2896         752.469         .935305
13.2218         756.328         .936577
13.1546         760.187         .934903
13.0882         764.046         .934457
13.0224         767.905         .932329
12.9573         771.763         .933081
12.8929         775.622         .932452
12.829          779.481         .932705
12.7658         783.34          .931996
12.7033         787.199         .93555
12.6413         791.058         .932365
12.5799         794.916         .937426
12.5192         798.775         .936933
12.459          802.634         .94024
12.3994         806.493         .943148
12.3403         810.352         .944428
12.2818         814.21          .943401
12.2239         818.069         .946075
12.1665         821.928         .946398
12.1097         825.787         .945018
12.0533         829.646         .942862
11.9975         833.505         .940006
11.9422         837.363         .941056
11.8875         841.222         .938782
11.8332         845.081         .936427
11.7794         848.94          .93507
11.7261         852.799         .931109
11.6733         856.657         .929577
11.6209         860.516         .927866
11.569          864.375         .924671
11.5176         868.234         .92235
11.4667         872.093         .921248
11.4161         875.952         .916074
11.3661         879.81          .914198
11.3164         883.669         .911614
11.2672         887.528         .908567
11.2185         891.387         .905477
11.1701         895.246         .904635
11.1222         899.104         .902595
11.0746         902.963         .902516
11.0275         906.822         .900368
10.9808         910.681         .90089
10.9345         914.54          .89771
10.8885         918.399         .893862
10.8429         922.257         .893679
10.7978         926.116         .893089
10.753          929.975         .887885
10.7085         933.834         .886462
10.6645         937.693         .886522
10.6208         941.551         .883666
10.5774         945.41          .879349
10.5344         949.269         .876619
10.4918         953.128         .873589
10.4495         956.987         .87153
10.4075         960.846         .868252
10.3659         964.704         .863305
10.3246         968.563         .860052
10.2836         972.422         .856178
