#TITLE =Emissivity of a Black Plastic Box Top
#MEMO =black surface of comtainer box for labsphere gold standard,meas. on 9/26/96
#DATATYPE = DIRECTIONAL HEMISPHERICAL EMISSIVITY SPECTRUM 
#ORIGIN = MODIS GROUP OF ICESS, UCSB
#PI = ZHENGMING WAN
#EMAIL: wan@icess.ucsb.edu
#INSTITUTE FOR COMPUTATIONAL EARTH SCIENCE SYSTEM
#OPERATOR = YULIN ZHANG
#UNIVERSITY OF CALIFORNIA, SANTA BARBARA
#DATE = 0/0/0
#TIME = 0:0
#SPECTROMETER = TIR SPECTROMETER MODEL MIDAC M2510-C
#XUNITS = 1/CM
#YUNITS = ABSOLUTE EMISSIVITY
#FIRSTX = 686.869
#LASTX = 2998.3
#NPOINTS = 600
#DELTAX = 3.85882
#CLASS = FTIR
#FILE NAME:W_BOX
#XYDATA=
#X(Micrometer)  #X(cm-1)        #Yvalue
14.5588         686.869         .928895
14.4775         690.728         .92718
14.397          694.587         .920094
14.3175         698.446         .943786
14.2388         702.305         .969347
14.161          706.164         .973873
14.0841         710.022         .966979
14.0079         713.881         .962324
13.9326         717.74          .957809
13.8581         721.599         .956299
13.7844         725.458         .952817
13.7115         729.316         .950988
13.6393         733.175         .953948
13.5679         737.034         .95235
13.4972         740.893         .953102
13.4273         744.752         .955475
13.3581         748.611         .956708
13.2896         752.469         .958907
13.2218         756.328         .96076
13.1546         760.187         .959253
13.0882         764.046         .965806
13.0224         767.905         .963554
12.9573         771.763         .961219
12.8929         775.622         .960451
12.829          779.481         .95404
12.7658         783.34          .951622
12.7033         787.199         .94708
12.6413         791.058         .943988
12.5799         794.916         .942445
12.5192         798.775         .943729
12.459          802.634         .939551
12.3994         806.493         .937452
12.3403         810.352         .93712
12.2818         814.21          .933006
12.2239         818.069         .935077
12.1665         821.928         .933856
12.1097         825.787         .933705
12.0533         829.646         .935022
11.9975         833.505         .935473
11.9422         837.363         .938973
11.8875         841.222         .939429
11.8332         845.081         .940199
11.7794         848.94          .93693
11.7261         852.799         .938148
11.6733         856.657         .937162
11.6209         860.516         .937204
11.569          864.375         .935574
11.5176         868.234         .933837
11.4667         872.093         .933157
11.4161         875.952         .932376
11.3661         879.81          .932819
11.3164         883.669         .93392
11.2672         887.528         .936095
11.2185         891.387         .935776
11.1701         895.246         .938151
11.1222         899.104         .93973
11.0746         902.963         .942122
11.0275         906.822         .941178
10.9808         910.681         .940656
10.9345         914.54          .93881
10.8885         918.399         .937989
10.8429         922.257         .938734
10.7978         926.116         .935947
10.753          929.975         .938623
10.7085         933.834         .938844
10.6645         937.693         .938887
10.6208         941.551         .938569
10.5774         945.41          .939016
10.5344         949.269         .938667
10.4918         953.128         .937857
10.4495         956.987         .940174
10.4075         960.846         .940385
10.3659         964.704         .939541
10.3246         968.563         .939187
10.2836         972.422         .93802
10.2429         976.281         .939695
10.2026         980.14          .939503
10.1626         983.998         .938458
10.1229         987.857         .940157
10.0835         991.716         .937853
10.0444         995.575         .939353
10.0057         999.434         .941698
9.96718         1003.29         .940031
9.92899         1007.15         .94026
