#TITLE =Clay Brick (Common)
#DATATYPE = DIRECTIONAL HEMISPHERICAL EMISSIVITY SPECTRUM 
#ORIGIN = MODIS GROUP OF ICESS, UCSB
#PI = ZHENGMING WAN
#EMAIL: wan@icess.ucsb.edu
#INSTITUTE FOR COMPUTATIONAL EARTH SCIENCE SYSTEM
#UNIVERSITY OF CALIFORNIA, SANTA BARBARA
#OPERATOR = YULIN ZHANG
#DATE = 0/0/0
#TIME = 0:0
#SPECTROMETER = TIR SPECTROMETER MODEL MIDAC M2510-C
#XUNITS = 1/CM
#YUNITS = ABSOLUTE EMISSIVITY
#FIRSTX = 686.869
#LASTX = 2998.3
#NPOINTS = 600
#DELTAX = 3.85882
#CLASS = FTIR
#FILE NAME:03
#XYDATA=
#X(Micrometer)  #X(cm-1)        #Yvalue
14.5588         686.869         .977953
14.4775         690.728         .975476
14.397          694.587         .976188
14.3175         698.446         .979524
14.2388         702.305         .979622
14.161          706.164         .979824
14.0841         710.022         .977683
14.0079         713.881         .981619
13.9326         717.74          .982274
13.8581         721.599         .976457
13.7844         725.458         .978155
13.7115         729.316         .97601
13.6393         733.175         .97668
13.5679         737.034         .974822
13.4972         740.893         .976827
13.4273         744.752         .976171
13.3581         748.611         .97523
13.2896         752.469         .975928
13.2218         756.328         .974577
13.1546         760.187         .974034
13.0882         764.046         .976637
13.0224         767.905         .974112
12.9573         771.763         .974911
12.8929         775.622         .97285
12.829          779.481         .975897
12.7658         783.34          .975065
12.7033         787.199         .976157
12.6413         791.058         .977966
12.5799         794.916         .978525
12.5192         798.775         .978156
12.459          802.634         .980054
12.3994         806.493         .982834
12.3403         810.352         .98232
12.2818         814.21          .980358
12.2239         818.069         .97973
12.1665         821.928         .981629
12.1097         825.787         .978951
12.0533         829.646         .978042
11.9975         833.505         .975561
11.9422         837.363         .975251
11.8875         841.222         .97355
11.8332         845.081         .972734
11.7794         848.94          .97148
11.7261         852.799         .968206
11.6733         856.657         .967879
11.6209         860.516         .968846
11.569          864.375         .96446
11.5176         868.234         .963436
11.4667         872.093         .964266
11.4161         875.952         .962651
11.3661         879.81          .961345
11.3164         883.669         .961001
11.2672         887.528         .95957
11.2185         891.387         .958893
11.1701         895.246         .955853
11.1222         899.104         .955428
11.0746         902.963         .953521
11.0275         906.822         .952641
10.9808         910.681         .95083
10.9345         914.54          .948826
10.8885         918.399         .947215
10.8429         922.257         .945744
10.7978         926.116         .945946
10.753          929.975         .944259
10.7085         933.834         .941088
10.6645         937.693         .942166
10.6208         941.551         .939446
10.5774         945.41          .939083
10.5344         949.269         .94015
10.4918         953.128         .93996
10.4495         956.987         .938996
10.4075         960.846         .937668
10.3659         964.704         .937481
10.3246         968.563         .938478
10.2836         972.422         .936911
10.2429         976.281         .935836
10.2026         980.14          .938578
10.1626         983.998         .936973
10.1229         987.857         .935948
10.0835         991.716         .935901
10.0444         995.575         .936058
10.0057         999.434         .936036
9.96718         1003.29         .933884
9.92899         1007.15         .93289
9.8911          1011.01         .931071
9.85349         1014.87         .929399
9.81616         1018.73         .929244
9.77912         1022.59         .927557
9.74236         1026.44         .929184
9.70587         1030.3          .925652
9.66965         1034.16         .925236
9.63371         1038.02         .923979
9.59803         1041.88         .923442
9.56261         1045.74         .923025
9.52745         1049.6          .921357
9.49255         1053.46         .917649
9.45791         1057.32         .915342
9.42352         1061.17         .910958
9.38937         1065.03         .908102
9.35548         1068.89         .905105
9.32182         1072.75         .901548
9.28841         1076.61         .90027
9.25524         1080.47         .897182
9.2223          1084.33         .897023
9.1896          1088.19         .895487
9.15713         1092.04         .894383
9.12488         1095.9          .898463
9.09287         1099.76         .898819
9.06107         1103.62         .900336
9.0295          1107.48         .906497
8.99815         1111.34         .909158
8.96701         1115.2          .912603
8.93609         1119.06         .915384
8.90538         1122.91         .916549
8.87489         1126.77         .921705
8.8446          1130.63         .92499
8.81451         1134.49         .927388
8.78463         1138.35         .93065
8.75496         1142.21         .932123
8.72548         1146.07         .934146
8.6962          1149.93         .936745
8.66711         1153.79         .940095
8.63822         1157.64         .941051
8.60952         1161.5          .944155
8.58102         1165.36         .943196
8.5527          1169.22         .943887
8.52456         1173.08         .9441
8.49661         1176.94         .945054
8.46885         1180.8          .945722
8.44126         1184.66         .949351
8.41385         1188.51         .949229
8.38662         1192.37         .952222
8.35957         1196.23         .950257
8.33269         1200.09         .95213
8.30598         1203.95         .954655
8.27945         1207.81         .954831
8.25308         1211.67         .956874
8.22688         1215.53         .958908
8.20084         1219.39         .960865
8.17497         1223.24         .964338
8.14927         1227.1          .966699
8.12372         1230.96         .970704
8.09833         1234.82         .970864
8.07311         1238.68         .9732
8.04803         1242.54         .977862
8.02312         1246.4          .978433
7.99835         1250.26         .982227
7.97374         1254.11         .98191
7.94929         1257.97         .983918
7.92498         1261.83         .984292
7.90081         1265.69         .984796
7.8768          1269.55         .984781
7.85293         1273.41         .984707
7.82921         1277.27         .983004
7.80562         1281.13         .984421
7.78218         1284.99         .982413
7.75888         1288.84         .982847
7.73572         1292.7          .982765
7.7127          1296.56         .981636
7.68981         1300.42         .982277
7.66706         1304.28         .980911
7.64445         1308.14         .980371
7.62196         1312            .978752
7.59961         1315.86         .978041
7.57739         1319.71         .977913
7.5553          1323.57         .975605
7.53333         1327.43         .97498
7.5115          1331.29         .975996
7.48979         1335.15         .976974
7.4682          1339.01         .974759
7.44674         1342.87         .972837
7.42541         1346.73         .972135
7.40419         1350.59         .972178
7.3831          1354.44         .97109
7.36212         1358.3          .972067
7.34127         1362.16         .971409
7.32053         1366.02         .970771
7.29991         1369.88         .970792
7.2794          1373.74         .969796
7.25901         1377.6          .967132
7.23873         1381.46         .966905
7.21857         1385.31         .964666
7.19852         1389.17         .964371
7.17858         1393.03         .963285
7.15875         1396.89         .962418
7.13903         1400.75         .961164
7.11941         1404.61         .960502
7.09991         1408.47         .960451
7.08051         1412.33         .962078
7.06122         1416.19         .962915
7.04203         1420.04         .960383
7.02295         1423.9          .960601
7.00396         1427.76         .958784
6.98509         1431.62         .958384
6.96631         1435.48         .958996
6.94763         1439.34         .954452
6.92906         1443.2          .956283
6.91058         1447.06         .955576
6.8922          1450.91         .955545
6.87392         1454.77         .952231
6.85573         1458.63         .95134
6.83764         1462.49         .950895
6.81965         1466.35         .94646
6.80175         1470.21         .948973
6.78394         1474.07         .945506
6.76623         1477.93         .94663
6.74861         1481.79         .944936
6.73108         1485.64         .943851
6.71364         1489.5          .943561
6.6963          1493.36         .945038
6.67904         1497.22         .940927
6.66187         1501.08         .93931
6.64479         1504.94         .932628
6.62779         1508.8          .930796
6.61088         1512.66         .935578
6.59406         1516.51         .928418
6.57733         1520.37         .922755
6.56068         1524.23         .92587
6.54411         1528.09         .92804
6.52762         1531.95         .927208
6.51122         1535.81         .923613
6.4949          1539.67         .916202
6.47867         1543.53         .9134
6.46251         1547.38         .920428
6.44644         1551.24         .92402
6.43044         1555.1          .9239
6.41452         1558.96         .921466
6.39868         1562.82         .923824
6.38292         1566.68         .927929
6.36724         1570.54         .925518
6.35163         1574.4          .928918
6.3361          1578.26         .92973
6.32065         1582.11         .933989
6.30527         1585.97         .933949
6.28997         1589.83         .937274
6.27474         1593.69         .937099
6.25958         1597.55         .936078
6.2445          1601.41         .938557
6.22949         1605.27         .937873
6.21455         1609.13         .938709
6.19968         1612.98         .939982
6.18489         1616.84         .934863
6.17016         1620.7          .934327
6.1555          1624.56         .932798
6.14092         1628.42         .932368
6.1264          1632.28         .928895
6.11195         1636.14         .925729
6.09757         1640            .929325
6.08326         1643.86         .928014
6.06901         1647.71         .926654
6.05483         1651.57         .921532
6.04072         1655.43         .920622
6.02667         1659.29         .923878
6.01268         1663.15         .920357
5.99877         1667.01         .921651
5.98491         1670.87         .914923
5.97112         1674.73         .916856
5.9574          1678.58         .914006
5.94373         1682.44         .910715
5.93013         1686.3          .914738
5.91659         1690.16         .908648
5.90311         1694.02         .907924
5.8897          1697.88         .904988
5.87634         1701.74         .905164
5.86305         1705.6          .904929
5.84981         1709.46         .904303
5.83664         1713.31         .901466
5.82352         1717.17         .900939
5.81046         1721.03         .900196
5.79746         1724.89         .899096
