#TITLE =Emissivity of Disk Surface (3.5 inch  1.44mb Floppy Diskette)
#MEMO =emissivity of black surface of 3.5 in 1.44mb diskette used in computer, meas. on 9/26/96
#DATATYPE = DIRECTIONAL HEMISPHERICAL EMISSIVITY SPECTRUM 
#ORIGIN = MODIS GROUP OF ICESS, UCSB
#PI = ZHENGMING WAN
#EMAIL: wan@icess.ucsb.edu
#INSTITUTE FOR COMPUTATIONAL EARTH SCIENCE SYSTEM
#OPERATOR = YULIN ZHANG
#UNIVERSITY OF CALIFORNIA, SANTA BARBARA
#DATE = 0/0/0
#TIME = 0:0
#SPECTROMETER = TIR SPECTROMETER MODEL MIDAC M2510-C
#XUNITS = 1/CM
#YUNITS = ABSOLUTE EMISSIVITY
#FIRSTX = 686.869
#LASTX = 2998.3
#NPOINTS = 600
#DELTAX = 3.85882
#CLASS = FTIR
#FILE NAME:W_DISK
#XYDATA=
#X(Micrometer)  #X(cm-1)        #Yvalue
14.5588         686.869         .938332
14.4775         690.728         .940399
14.397          694.587         .943119
14.3175         698.446         .946468
14.2388         702.305         .950809
14.161          706.164         .955032
14.0841         710.022         .959805
14.0079         713.881         .965468
13.9326         717.74          .968368
13.8581         721.599         .967557
13.7844         725.458         .965995
13.7115         729.316         .964279
13.6393         733.175         .96268
13.5679         737.034         .961354
13.4972         740.893         .960784
13.4273         744.752         .960143
13.3581         748.611         .96037
13.2896         752.469         .961076
13.2218         756.328         .962013
13.1546         760.187         .96298
13.0882         764.046         .964174
13.0224         767.905         .965156
12.9573         771.763         .965468
12.8929         775.622         .965303
12.829          779.481         .965032
12.7658         783.34          .964815
12.7033         787.199         .96436
12.6413         791.058         .963421
12.5799         794.916         .96232
12.5192         798.775         .960935
12.459          802.634         .959968
12.3994         806.493         .95892
12.3403         810.352         .958504
12.2818         814.21          .958303
12.2239         818.069         .957237
12.1665         821.928         .956698
12.1097         825.787         .95639
12.0533         829.646         .956179
11.9975         833.505         .956261
11.9422         837.363         .956473
11.8875         841.222         .95694
11.8332         845.081         .956835
11.7794         848.94          .956995
11.7261         852.799         .957397
11.6733         856.657         .957161
11.6209         860.516         .956762
11.569          864.375         .956374
11.5176         868.234         .956144
11.4667         872.093         .955539
11.4161         875.952         .95508
11.3661         879.81          .954869
11.3164         883.669         .954364
11.2672         887.528         .954346
11.2185         891.387         .954273
11.1701         895.246         .954497
11.1222         899.104         .954643
11.0746         902.963         .954672
11.0275         906.822         .954941
10.9808         910.681         .955184
10.9345         914.54          .955229
10.8885         918.399         .955528
10.8429         922.257         .955372
10.7978         926.116         .955409
10.753          929.975         .95548
10.7085         933.834         .955542
10.6645         937.693         .955338
10.6208         941.551         .955109
10.5774         945.41          .954858
10.5344         949.269         .954618
10.4918         953.128         .954491
10.4495         956.987         .954418
10.4075         960.846         .954579
10.3659         964.704         .954537
10.3246         968.563         .954243
10.2836         972.422         .954632
10.2429         976.281         .954653
10.2026         980.14          .954581
10.1626         983.998         .954696
10.1229         987.857         .954584
10.0835         991.716         .954599
10.0444         995.575         .954398
10.0057         999.434         .954147
9.96718         1003.29         .954017
9.92899         1007.15         .953602
9.8911          1011.01         .953548
9.85349         1014.87         .95378
9.81616         1018.73         .953904
9.77912         1022.59         .953978
9.74236         1026.44         .954094
9.70587         1030.3          .953987
9.66965         1034.16         .95446
9.63371         1038.02         .954707
9.59803         1041.88         .954898
9.56261         1045.74         .95501
9.52745         1049.6          .95506
9.49255         1053.46         .954994
9.45791         1057.32         .955229
9.42352         1061.17         .955372
9.38937         1065.03         .955424
9.35548         1068.89         .955323
9.32182         1072.75         .955648
