#TITLE =Auyona Flagstone - Buckskin Color
#DATATYPE = DIRECTIONAL HEMISPHERICAL EMISSIVITY SPECTRUM 
#ORIGIN = MODIS GROUP OF ICESS, UCSB
#PI = ZHENGMING WAN
#EMAIL: wan@icess.ucsb.edu
#INSTITUTE FOR COMPUTATIONAL EARTH SCIENCE SYSTEM
#UNIVERSITY OF CALIFORNIA, SANTA BARBARA
#OPERATOR = YULIN ZHANG
#DATE = 0/0/0
#TIME = 0:0
#SPECTROMETER = TIR SPECTROMETER MODEL MIDAC M2510-C
#XUNITS = 1/CM
#YUNITS = ABSOLUTE EMISSIVITY
#FIRSTX = 686.869
#LASTX = 2998.3
#NPOINTS = 600
#DELTAX = 3.85882
#CLASS = FTIR
#FILE NAME:61
#XYDATA=
#X(Micrometer)  #X(cm-1)        #Yvalue
14.5588         686.869         .985988
14.4775         690.728         .980765
14.397          694.587         .98409
14.3175         698.446         .985082
14.2388         702.305         .979974
14.161          706.164         .981617
14.0841         710.022         .982778
14.0079         713.881         .977951
13.9326         717.74          .978909
13.8581         721.599         .980252
13.7844         725.458         .976517
13.7115         729.316         .97676
13.6393         733.175         .977478
13.5679         737.034         .976502
13.4972         740.893         .975189
13.4273         744.752         .9747
13.3581         748.611         .973663
13.2896         752.469         .970097
13.2218         756.328         .971203
13.1546         760.187         .970963
13.0882         764.046         .970207
13.0224         767.905         .971557
12.9573         771.763         .970277
12.8929         775.622         .965814
12.829          779.481         .965348
12.7658         783.34          .964321
12.7033         787.199         .967164
12.6413         791.058         .968469
12.5799         794.916         .966463
12.5192         798.775         .970311
12.459          802.634         .974282
12.3994         806.493         .978567
12.3403         810.352         .981298
12.2818         814.21          .983536
12.2239         818.069         .982049
12.1665         821.928         .982429
12.1097         825.787         .982393
12.0533         829.646         .979112
11.9975         833.505         .976313
11.9422         837.363         .975194
11.8875         841.222         .973594
11.8332         845.081         .972618
11.7794         848.94          .969876
11.7261         852.799         .968385
11.6733         856.657         .968918
11.6209         860.516         .966378
11.569          864.375         .966709
11.5176         868.234         .966313
11.4667         872.093         .965625
11.4161         875.952         .965353
11.3661         879.81          .963937
11.3164         883.669         .963613
11.2672         887.528         .962813
11.2185         891.387         .964833
11.1701         895.246         .962704
11.1222         899.104         .96358
11.0746         902.963         .96381
11.0275         906.822         .964117
10.9808         910.681         .964638
10.9345         914.54          .96453
10.8885         918.399         .965381
10.8429         922.257         .965943
10.7978         926.116         .964716
10.753          929.975         .96335
10.7085         933.834         .963987
10.6645         937.693         .963003
10.6208         941.551         .963325
10.5774         945.41          .962093
10.5344         949.269         .960662
10.4918         953.128         .959731
10.4495         956.987         .959695
10.4075         960.846         .958086
10.3659         964.704         .957831
10.3246         968.563         .957252
10.2836         972.422         .955282
10.2429         976.281         .953591
10.2026         980.14          .949948
10.1626         983.998         .949797
10.1229         987.857         .948362
10.0835         991.716         .945968
10.0444         995.575         .942769
10.0057         999.434         .941813
9.96718         1003.29         .939613
9.92899         1007.15         .938944
9.8911          1011.01         .935727
9.85349         1014.87         .932882
9.81616         1018.73         .931449
9.77912         1022.59         .928945
9.74236         1026.44         .927144
9.70587         1030.3          .923839
9.66965         1034.16         .920173
9.63371         1038.02         .9166
9.59803         1041.88         .912447
9.56261         1045.74         .909357
9.52745         1049.6          .904761
9.49255         1053.46         .900295
9.45791         1057.32         .898312
9.42352         1061.17         .889183
9.38937         1065.03         .882868
9.35548         1068.89         .874661
9.32182         1072.75         .868981
9.28841         1076.61         .868348
9.25524         1080.47         .866014
9.2223          1084.33         .867718
9.1896          1088.19         .867901
9.15713         1092.04         .865576
9.12488         1095.9          .86549
9.09287         1099.76         .868282
9.06107         1103.62         .867708
9.0295          1107.48         .869207
8.99815         1111.34         .871293
8.96701         1115.2          .872316
8.93609         1119.06         .871432
