#TITLE =Gold Paint on Sandpaper
#MEMO =manmade material: paint gold on sand_paper meas. on 9/26/96, 1024 scan 4 cm-1
#DATATYPE = DIRECTIONAL HEMISPHERICAL EMISSIVITY SPECTRUM 
#ORIGIN = MODIS GROUP OF ICESS, UCSB
#PI = ZHENGMING WAN
#EMAIL: wan@icess.ucsb.edu
#INSTITUTE FOR COMPUTATIONAL EARTH SCIENCE SYSTEM
#OPERATOR = YULIN ZHANG
#UNIVERSITY OF CALIFORNIA, SANTA BARBARA
#DATE = 0/0/0
#TIME = 0:0
#SPECTROMETER = TIR SPECTROMETER MODEL MIDAC M2510-C
#XUNITS = 1/CM
#YUNITS = ABSOLUTE EMISSIVITY
#FIRSTX = 686.869
#LASTX = 2998.3
#NPOINTS = 600
#DELTAX = 3.85882
#CLASS = FTIR
#FILE NAME:W_SAND2
#XYDATA=
#X(Micrometer)  #X(cm-1)        #Yvalue
14.5588         686.869         .348933
14.4775         690.728         .348361
14.397          694.587         .3486
14.3175         698.446         .348293
14.2388         702.305         .347937
14.161          706.164         .347815
14.0841         710.022         .347807
14.0079         713.881         .347791
13.9326         717.74          .347701
13.8581         721.599         .347428
13.7844         725.458         .347561
13.7115         729.316         .347115
13.6393         733.175         .346771
13.5679         737.034         .346631
13.4972         740.893         .346311
13.4273         744.752         .345614
13.3581         748.611         .344975
13.2896         752.469         .344478
13.2218         756.328         .343818
13.1546         760.187         .343054
13.0882         764.046         .342669
13.0224         767.905         .342239
12.9573         771.763         .341627
12.8929         775.622         .341219
12.829          779.481         .341243
12.7658         783.34          .340953
12.7033         787.199         .340576
12.6413         791.058         .340359
12.5799         794.916         .340204
12.5192         798.775         .339955
12.459          802.634         .339873
12.3994         806.493         .339655
12.3403         810.352         .339111
12.2818         814.21          .338624
12.2239         818.069         .338326
12.1665         821.928         .337882
12.1097         825.787         .337703
12.0533         829.646         .337489
11.9975         833.505         .337124
11.9422         837.363         .336566
11.8875         841.222         .336092
11.8332         845.081         .335959
11.7794         848.94          .335459
11.7261         852.799         .335418
11.6733         856.657         .335623
11.6209         860.516         .335939
11.569          864.375         .336367
11.5176         868.234         .336436
11.4667         872.093         .336447
11.4161         875.952         .336538
11.3661         879.81          .336406
11.3164         883.669         .336494
11.2672         887.528         .336422
11.2185         891.387         .336019
11.1701         895.246         .335812
11.1222         899.104         .335344
11.0746         902.963         .335369
11.0275         906.822         .33543
10.9808         910.681         .335378
10.9345         914.54          .33537
10.8885         918.399         .335337
10.8429         922.257         .335207
10.7978         926.116         .335132
10.753          929.975         .334649
10.7085         933.834         .334464
10.6645         937.693         .334012
10.6208         941.551         .333897
10.5774         945.41          .333826
10.5344         949.269         .333715
10.4918         953.128         .33387
10.4495         956.987         .334186
10.4075         960.846         .334403
10.3659         964.704         .334764
10.3246         968.563         .335007
10.2836         972.422         .33565
10.2429         976.281         .336244
10.2026         980.14          .337156
10.1626         983.998         .337918
10.1229         987.857         .33869
10.0835         991.716         .339317
10.0444         995.575         .340226
10.0057         999.434         .341138
9.96718         1003.29         .34206
9.92899         1007.15         .342882
9.8911          1011.01         .343674
9.85349         1014.87         .344213
9.81616         1018.73         .344934
9.77912         1022.59         .345368
9.74236         1026.44         .345886
9.70587         1030.3          .34622
9.66965         1034.16         .346347
