#TITLE =Sample 1 - Black "KRYLON" Painted Sandpaper (Uniform Coverage - Done byManufacturer)
#MEMO =manmade material: krylon painted by manufacture, meas. on 9/26/96, 1024 scans, 4 cm-1
#DATATYPE = DIRECTIONAL HEMISPHERICAL EMISSIVITY SPECTRUM 
#ORIGIN = MODIS GROUP OF ICESS, UCSB
#PI = ZHENGMING WAN
#EMAIL: wan@icess.ucsb.edu
#INSTITUTE FOR COMPUTATIONAL EARTH SCIENCE SYSTEM
#OPERATOR = YULIN ZHANG
#UNIVERSITY OF CALIFORNIA, SANTA BARBARA
#DATE = 0/0/0
#TIME = 0:0
#SPECTROMETER = TIR SPECTROMETER MODEL MIDAC M2510-C
#XUNITS = 1/CM
#YUNITS = ABSOLUTE EMISSIVITY
#FIRSTX = 686.869
#LASTX = 2998.3
#NPOINTS = 600
#DELTAX = 3.85882
#CLASS = FTIR
#FILE NAME:W_KRYLON
#XYDATA=
#X(Micrometer)  #X(cm-1)        #Yvalue
14.5588         686.869         .962247
14.4775         690.728         .960467
14.397          694.587         .961653
14.3175         698.446         .96153
14.2388         702.305         .96186
14.161          706.164         .961655
14.0841         710.022         .962133
14.0079         713.881         .962885
13.9326         717.74          .960982
13.8581         721.599         .961038
13.7844         725.458         .960812
13.7115         729.316         .961711
13.6393         733.175         .96053
13.5679         737.034         .959538
13.4972         740.893         .959456
13.4273         744.752         .959671
13.3581         748.611         .959974
13.2896         752.469         .960192
13.2218         756.328         .961735
13.1546         760.187         .961962
13.0882         764.046         .961592
13.0224         767.905         .960149
12.9573         771.763         .96001
12.8929         775.622         .95991
12.829          779.481         .959904
12.7658         783.34          .95981
12.7033         787.199         .959676
12.6413         791.058         .95893
12.5799         794.916         .959859
12.5192         798.775         .960275
12.459          802.634         .960685
12.3994         806.493         .959602
12.3403         810.352         .960155
12.2818         814.21          .960652
12.2239         818.069         .961021
12.1665         821.928         .96051
12.1097         825.787         .960195
12.0533         829.646         .960033
11.9975         833.505         .95988
11.9422         837.363         .959816
11.8875         841.222         .959811
11.8332         845.081         .959548
11.7794         848.94          .959184
11.7261         852.799         .958893
11.6733         856.657         .958955
11.6209         860.516         .959057
11.569          864.375         .959265
11.5176         868.234         .959257
11.4667         872.093         .958729
11.4161         875.952         .958167
11.3661         879.81          .958382
11.3164         883.669         .958712
11.2672         887.528         .959465
11.2185         891.387         .9594
11.1701         895.246         .959252
11.1222         899.104         .958439
11.0746         902.963         .958234
11.0275         906.822         .95913
10.9808         910.681         .959659
10.9345         914.54          .959875
10.8885         918.399         .959527
10.8429         922.257         .96003
10.7978         926.116         .960136
10.753          929.975         .959913
10.7085         933.834         .959
10.6645         937.693         .958518
10.6208         941.551         .958098
10.5774         945.41          .957563
10.5344         949.269         .957647
10.4918         953.128         .95764
10.4495         956.987         .95819
10.4075         960.846         .958011
10.3659         964.704         .958225
10.3246         968.563         .957713
10.2836         972.422         .957783
10.2429         976.281         .957929
10.2026         980.14          .958378
10.1626         983.998         .958562
10.1229         987.857         .958761
10.0835         991.716         .959147
10.0444         995.575         .959291
10.0057         999.434         .959098
9.96718         1003.29         .958036
9.92899         1007.15         .957188
9.8911          1011.01         .956844
9.85349         1014.87         .957884
9.81616         1018.73         .958524
9.77912         1022.59         .958612
9.74236         1026.44         .958953
9.70587         1030.3          .959003
9.66965         1034.16         .959839
9.63371         1038.02         .960186
9.59803         1041.88         .960684
9.56261         1045.74         .961068
9.52745         1049.6          .961476
9.49255         1053.46         .962095
9.45791         1057.32         .962257
9.42352         1061.17         .962686
9.38937         1065.03         .961926
9.35548         1068.89         .961531
9.32182         1072.75         .960543
9.28841         1076.61         .960131
9.25524         1080.47         .959347
9.2223          1084.33         .958202
9.1896          1088.19         .958323
9.15713         1092.04         .958004
9.12488         1095.9          .957756
9.09287         1099.76         .956979
9.06107         1103.62         .956963
9.0295          1107.48         .957592
8.99815         1111.34         .95808
8.96701         1115.2          .958397
8.93609         1119.06         .957867
8.90538         1122.91         .957964
8.87489         1126.77         .956825
8.8446          1130.63         .956443
8.81451         1134.49         .955727
8.78463         1138.35         .955849
8.75496         1142.21         .955843
8.72548         1146.07         .956063
8.6962          1149.93         .956349
8.66711         1153.79         .95685
8.63822         1157.64         .958083
8.60952         1161.5          .959847
8.58102         1165.36         .961108
8.5527          1169.22         .961723
8.52456         1173.08         .961902
8.49661         1176.94         .963457
8.46885         1180.8          .96566
8.44126         1184.66         .967412
8.41385         1188.51         .968293
8.38662         1192.37         .96855
8.35957         1196.23         .969573
8.33269         1200.09         .970262
8.30598         1203.95         .970367
8.27945         1207.81         .969683
8.25308         1211.67         .969011
8.22688         1215.53         .96832
8.20084         1219.39         .967996
8.17497         1223.24         .967756
8.14927         1227.1          .968083
8.12372         1230.96         .968189
8.09833         1234.82         .968192
8.07311         1238.68         .968065
8.04803         1242.54         .968518
8.02312         1246.4          .968851
7.99835         1250.26         .969396
7.97374         1254.11         .970087
7.94929         1257.97         .970338
7.92498         1261.83         .970561
7.90081         1265.69         .970143
7.8768          1269.55         .96976
7.85293         1273.41         .969899
7.82921         1277.27         .970002
7.80562         1281.13         .970651
7.78218         1284.99         .970681
7.75888         1288.84         .970798
7.73572         1292.7          .971094
7.7127          1296.56         .971058
7.68981         1300.42         .971186
7.66706         1304.28         .970476
7.64445         1308.14         .969905
7.62196         1312            .969485
7.59961         1315.86         .969347
7.57739         1319.71         .969354
7.5553          1323.57         .96883
7.53333         1327.43         .968707
7.5115          1331.29         .968015
7.48979         1335.15         .967538
7.4682          1339.01         .966706
7.44674         1342.87         .966384
7.42541         1346.73         .966675
7.40419         1350.59         .96629
7.3831          1354.44         .966035
7.36212         1358.3          .965326
7.34127         1362.16         .965697
7.32053         1366.02         .965291
7.29991         1369.88         .964897
7.2794          1373.74         .965429
7.25901         1377.6          .966295
7.23873         1381.46         .967758
7.21857         1385.31         .968158
7.19852         1389.17         .968444
7.17858         1393.03         .968197
7.15875         1396.89         .968494
7.13903         1400.75         .968605
7.11941         1404.61         .967855
7.09991         1408.47         .966565
7.08051         1412.33         .965789
7.06122         1416.19         .965411
7.04203         1420.04         .96557
7.02295         1423.9          .964997
7.00396         1427.76         .965034
6.98509         1431.62         .96526
6.96631         1435.48         .965782
6.94763         1439.34         .966209
6.92906         1443.2          .966701
6.91058         1447.06         .967301
6.8922          1450.91         .968259
6.87392         1454.77         .968147
6.85573         1458.63         .968577
6.83764         1462.49         .968348
6.81965         1466.35         .969466
6.80175         1470.21         .968685
6.78394         1474.07         .96899
6.76623         1477.93         .968733
6.74861         1481.79         .968756
6.73108         1485.64         .967288
6.71364         1489.5          .966108
6.6963          1493.36         .966103
6.67904         1497.22         .967717
6.66187         1501.08         .967302
6.64479         1504.94         .967435
6.62779         1508.8          .965917
6.61088         1512.66         .96543
6.59406         1516.51         .964316
6.57733         1520.37         .964174
6.56068         1524.23         .963556
6.54411         1528.09         .964215
6.52762         1531.95         .963654
6.51122         1535.81         .964041
6.4949          1539.67         .963885
6.47867         1543.53         .965126
6.46251         1547.38         .96607
6.44644         1551.24         .967003
6.43044         1555.1          .966941
6.41452         1558.96         .966256
6.39868         1562.82         .964363
6.38292         1566.68         .963838
6.36724         1570.54         .964574
6.35163         1574.4          .965557
6.3361          1578.26         .96586
6.32065         1582.11         .965388
6.30527         1585.97         .965353
6.28997         1589.83         .965423
6.27474         1593.69         .965537
6.25958         1597.55         .9661
6.2445          1601.41         .966388
6.22949         1605.27         .966393
6.21455         1609.13         .96562
6.19968         1612.98         .964766
6.18489         1616.84         .964846
6.17016         1620.7          .964462
6.1555          1624.56         .964079
6.14092         1628.42         .963553
6.1264          1632.28         .962972
6.11195         1636.14         .963572
6.09757         1640            .963089
6.08326         1643.86         .963256
6.06901         1647.71         .963348
6.05483         1651.57         .963295
6.04072         1655.43         .964605
6.02667         1659.29         .965035
6.01268         1663.15         .966548
5.99877         1667.01         .96709
5.98491         1670.87         .966568
5.97112         1674.73         .966363
5.9574          1678.58         .964959
5.94373         1682.44         .964853
5.93013         1686.3          .964232
5.91659         1690.16         .963349
5.90311         1694.02         .962521
5.8897          1697.88         .960155
5.87634         1701.74         .958501
5.86305         1705.6          .955773
5.84981         1709.46         .954293
5.83664         1713.31         .953725
5.82352         1717.17         .952985
5.81046         1721.03         .953134
5.79746         1724.89         .953498
5.78452         1728.75         .95694
5.77164         1732.61         .960588
5.75882         1736.47         .964792
5.74605         1740.33         .968806
5.73333         1744.18         .972335
5.72068         1748.04         .974715
5.70808         1751.9          .974833
5.69553         1755.76         .9747
5.68304         1759.62         .974337
5.67061         1763.48         .974905
5.65822         1767.34         .974294
5.6459          1771.2          .974206
5.63362         1775.06         .972322
5.6214          1778.91         .971943
5.60924         1782.77         .971896
5.59712         1786.63         .972324
5.58506         1790.49         .971177
5.57305         1794.35         .968811
5.56109         1798.21         .96809
5.54918         1802.07         .967874
5.53732         1805.93         .968604
5.52552         1809.78         .967783
5.51376         1813.64         .968066
5.50205         1817.5          .967736
5.4904          1821.36         .966723
5.47879         1825.22         .966516
5.46723         1829.08         .967705
5.45572         1832.94         .969559
5.44426         1836.8          .97017
5.43284         1840.66         .969996
5.42148         1844.51         .970158
5.41016         1848.37         .969708
5.39889         1852.23         .968112
5.38766         1856.09         .967326
5.37649         1859.95         .96735
5.36536         1863.81         .967747
5.35427         1867.67         .96767
5.34323         1871.53         .967775
5.33224         1875.38         .968001
5.32129         1879.24         .968579
5.31038         1883.1          .968846
5.29952         1886.96         .968919
5.28871         1890.82         .969102
5.27794         1894.68         .968992
5.26721         1898.54         .968976
5.25652         1902.4          .968314
5.24588         1906.25         .967725
5.23529         1910.11         .968001
5.22473         1913.97         .968644
5.21422         1917.83         .968815
5.20375         1921.69         .968355
5.19332         1925.55         .967811
5.18293         1929.41         .967613
5.17259         1933.27         .96791
5.16228         1937.13         .968522
5.15202         1940.98         .968718
5.1418          1944.84         .969223
5.13162         1948.7          .96893
5.12148         1952.56         .9689
5.11137         1956.42         .968566
5.10131         1960.28         .968332
5.09129         1964.14         .968639
5.08131         1968            .968818
5.07136         1971.85         .969201
5.06146         1975.71         .969281
5.05159         1979.57         .969574
5.04176         1983.43         .969728
5.03197         1987.29         .969651
5.02222         1991.15         .96854
5.01251         1995.01         .968386
5.00283         1998.87         .968344
4.99319         2002.73         .969164
4.98359         2006.58         .969155
4.97402         2010.44         .969232
4.9645          2014.3          .968667
4.955           2018.16         .968505
4.94555         2022.02         .968677
4.93613         2025.88         .968837
4.92674         2029.74         .968208
4.91739         2033.6          .967921
4.90808         2037.45         .967996
4.8988          2041.31         .968138
4.88956         2045.17         .968055
4.88035         2049.03         .968453
4.87118         2052.89         .968953
4.86204         2056.75         .968891
4.85293         2060.61         .968377
4.84386         2064.47         .968106
4.83483         2068.33         .968108
4.82582         2072.18         .968446
4.81685         2076.04         .968994
4.80792         2079.9          .969996
4.79901         2083.76         .970558
4.79014         2087.62         .970121
4.7813          2091.48         .969213
4.7725          2095.34         .967529
4.76373         2099.2          .967089
4.75498         2103.05         .967228
4.74628         2106.91         .968272
4.7376          2110.77         .9684
4.72895         2114.63         .968215
4.72034         2118.49         .967966
4.71176         2122.35         .968263
4.70321         2126.21         .968701
4.69469         2130.07         .969608
4.6862          2133.93         .970542
4.67774         2137.78         .971455
4.66931         2141.64         .971486
4.66091         2145.5          .97061
4.65254         2149.36         .969113
4.64421         2153.22         .968821
4.6359          2157.08         .969045
4.62762         2160.94         .96935
4.61937         2164.8          .968618
4.61115         2168.65         .968547
4.60296         2172.51         .968617
4.5948          2176.37         .968925
4.58667         2180.23         .968678
4.57856         2184.09         .968339
4.57049         2187.95         .968081
4.56244         2191.81         .967866
4.55442         2195.67         .968969
4.54643         2199.53         .96955
4.53847         2203.38         .970209
4.53054         2207.24         .970317
4.52263         2211.1          .969878
4.51475         2214.96         .969173
4.5069          2218.82         .967778
4.49907         2222.68         .968562
4.49128         2226.54         .969043
4.48351         2230.4          .969325
4.47576         2234.25         .967663
4.46805         2238.11         .967886
4.46036         2241.97         .96854
4.45269         2245.83         .969315
4.44505         2249.69         .969354
4.43744         2253.55         .969667
4.42986         2257.41         .969767
4.4223          2261.27         .969051
4.41476         2265.13         .968294
4.40726         2268.98         .967708
4.39977         2272.84         .968367
4.39232         2276.7          .96814
4.38488         2280.56         .968519
4.37748         2284.42         .96884
4.3701          2288.28         .968778
4.36274         2292.14         .969328
4.35541         2296            .96902
4.3481          2299.85         .968288
4.34082         2303.71         .967745
4.33356         2307.57         .966355
4.32632         2311.43         .966367
4.31911         2315.29         .966643
4.31192         2319.15         .967746
4.30476         2323.01         .96855
4.29762         2326.87         .970196
4.29051         2330.72         .968255
4.28342         2334.58         .969424
4.27635         2338.44         .969281
