#TITLE= Sample 2 - Black "KRYLON" Painted Sandpaper (Uniform Coverage - Done by Manufacturer)
#MEMO =emissivity of krylon meas. onn 10/02/96
#DATATYPE = DIRECTIONAL HEMISPHERICAL EMISSIVITY SPECTRUM 
#ORIGIN = MODIS GROUP OF ICESS, UCSB
#OWNER = ZHENGMING WAN
#OPERATOR = YULIN ZHANG
#EMAIL: wan@icess.ucsb.edu
#INSTITUTE FOR COMPUTATIONAL EARTH SCIENCE SYSTEM
#UNIVERSITY OF CALIFORNIA, SANTA BARBARA
#DATE = 0/0/0
#TIME = 0:0
#SPECTROMETER = TIR SPECTROMETER MODEL MIDAC M2510-C
#XUNITS = 1/CM
#YUNITS = ABSOLUTE EMISSIVITY
#FIRSTX = 686.869
#LASTX = 2998.3
#NPOINTS = 600
#DELTAX = 3.85882
#CLASS = FTIR
#FILE NAME:KRYLON2
#XYDATA=
#X(Micrometer)  #X(cm-1)        #Yvalue
14.5588         686.869         .951505
14.4775         690.728         .952265
14.397          694.587         .95302
14.3175         698.446         .953672
14.2388         702.305         .954312
14.161          706.164         .953906
14.0841         710.022         .953206
14.0079         713.881         .952336
13.9326         717.74          .952446
13.8581         721.599         .951888
13.7844         725.458         .951838
13.7115         729.316         .951643
13.6393         733.175         .951335
13.5679         737.034         .951256
13.4972         740.893         .951415
13.4273         744.752         .952078
13.3581         748.611         .95134
13.2896         752.469         .951076
13.2218         756.328         .951079
13.1546         760.187         .951765
13.0882         764.046         .951736
13.0224         767.905         .951713
12.9573         771.763         .952137
12.8929         775.622         .951879
12.829          779.481         .951758
12.7658         783.34          .95207
12.7033         787.199         .952377
12.6413         791.058         .95234
12.5799         794.916         .951864
12.5192         798.775         .95215
12.459          802.634         .952345
12.3994         806.493         .952839
12.3403         810.352         .953086
12.2818         814.21          .952891
12.2239         818.069         .952454
12.1665         821.928         .951843
12.1097         825.787         .951658
12.0533         829.646         .951103
11.9975         833.505         .951209
11.9422         837.363         .951322
11.8875         841.222         .951706
11.8332         845.081         .951856
11.7794         848.94          .952622
11.7261         852.799         .953017
11.6733         856.657         .953454
11.6209         860.516         .953221
11.569          864.375         .953435
11.5176         868.234         .952948
11.4667         872.093         .953021
11.4161         875.952         .952773
11.3661         879.81          .95276
11.3164         883.669         .952411
11.2672         887.528         .952288
11.2185         891.387         .952187
11.1701         895.246         .951902
11.1222         899.104         .951888
11.0746         902.963         .951912
11.0275         906.822         .951987
10.9808         910.681         .951596
10.9345         914.54          .951674
10.8885         918.399         .951622
10.8429         922.257         .951615
10.7978         926.116         .951246
10.753          929.975         .951242
10.7085         933.834         .951151
10.6645         937.693         .951076
10.6208         941.551         .951002
10.5774         945.41          .951261
10.5344         949.269         .951315
10.4918         953.128         .951409
10.4495         956.987         .951443
10.4075         960.846         .951403
10.3659         964.704         .951252
10.3246         968.563         .951178
10.2836         972.422         .95113
10.2429         976.281         .950495
10.2026         980.14          .950021
10.1626         983.998         .949858
10.1229         987.857         .950133
10.0835         991.716         .950112
10.0444         995.575         .949831
10.0057         999.434         .949353
9.96718         1003.29         .949403
9.92899         1007.15         .94929
9.8911          1011.01         .949164
9.85349         1014.87         .949036
9.81616         1018.73         .949223
9.77912         1022.59         .949559
9.74236         1026.44         .949802
9.70587         1030.3          .949506
9.66965         1034.16         .949631
9.63371         1038.02         .949581
9.59803         1041.88         .950047
9.56261         1045.74         .949939
9.52745         1049.6          .949506
9.49255         1053.46         .949351
9.45791         1057.32         .949539
9.42352         1061.17         .949554
9.38937         1065.03         .949055
9.35548         1068.89         .948543
9.32182         1072.75         .948293
9.28841         1076.61         .948645
9.25524         1080.47         .948603
9.2223          1084.33         .948824
9.1896          1088.19         .948454
9.15713         1092.04         .948918
9.12488         1095.9          .949344
9.09287         1099.76         .950039
9.06107         1103.62         .950386
9.0295          1107.48         .950431
8.99815         1111.34         .950198
8.96701         1115.2          .949952
8.93609         1119.06         .949098
8.90538         1122.91         .948278
8.87489         1126.77         .947435
8.8446          1130.63         .947663
8.81451         1134.49         .947996
8.78463         1138.35         .948532
8.75496         1142.21         .948715
8.72548         1146.07         .949092
8.6962          1149.93         .949504
8.66711         1153.79         .950499
8.63822         1157.64         .952284
8.60952         1161.5          .953544
8.58102         1165.36         .955253
8.5527          1169.22         .956249
8.52456         1173.08         .957812
8.49661         1176.94         .959461
8.46885         1180.8          .961008
8.44126         1184.66         .962565
8.41385         1188.51         .96331
8.38662         1192.37         .964694
8.35957         1196.23         .965524
8.33269         1200.09         .965902
8.30598         1203.95         .965888
8.27945         1207.81         .965672
8.25308         1211.67         .965468
8.22688         1215.53         .965285
8.20084         1219.39         .965446
8.17497         1223.24         .965588
8.14927         1227.1          .965711
8.12372         1230.96         .965678
8.09833         1234.82         .966196
8.07311         1238.68         .966517
8.04803         1242.54         .966754
8.02312         1246.4          .966633
7.99835         1250.26         .966898
7.97374         1254.11         .967065
7.94929         1257.97         .967171
7.92498         1261.83         .966823
7.90081         1265.69         .966922
7.8768          1269.55         .966969
7.85293         1273.41         .966988
7.82921         1277.27         .967106
7.80562         1281.13         .967435
7.78218         1284.99         .967735
7.75888         1288.84         .968044
7.73572         1292.7          .968123
7.7127          1296.56         .968228
7.68981         1300.42         .968126
7.66706         1304.28         .968004
7.64445         1308.14         .967889
7.62196         1312            .967675
7.59961         1315.86         .967478
7.57739         1319.71         .966842
7.5553          1323.57         .966294
7.53333         1327.43         .965876
7.5115          1331.29         .965836
7.48979         1335.15         .965024
7.4682          1339.01         .964448
7.44674         1342.87         .964132
7.42541         1346.73         .96412
7.40419         1350.59         .963551
7.3831          1354.44         .963059
7.36212         1358.3          .962754
7.34127         1362.16         .962889
7.32053         1366.02         .962592
7.29991         1369.88         .962868
7.2794          1373.74         .963105
7.25901         1377.6          .963726
7.23873         1381.46         .963659
7.21857         1385.31         .963647
7.19852         1389.17         .963287
7.17858         1393.03         .963649
7.15875         1396.89         .963804
7.13903         1400.75         .963776
7.11941         1404.61         .963502
7.09991         1408.47         .963024
7.08051         1412.33         .962359
7.06122         1416.19         .961513
7.04203         1420.04         .961156
7.02295         1423.9          .961105
7.00396         1427.76         .961181
6.98509         1431.62         .96062
6.96631         1435.48         .960966
6.94763         1439.34         .960965
6.92906         1443.2          .961634
6.91058         1447.06         .962364
6.8922          1450.91         .963345
6.87392         1454.77         .964187
6.85573         1458.63         .964282
6.83764         1462.49         .96447
6.81965         1466.35         .96467
6.80175         1470.21         .964778
6.78394         1474.07         .965243
6.76623         1477.93         .965336
6.74861         1481.79         .965007
6.73108         1485.64         .964232
6.71364         1489.5          .963305
6.6963          1493.36         .962265
6.67904         1497.22         .96136
6.66187         1501.08         .960673
6.64479         1504.94         .961137
6.62779         1508.8          .961251
6.61088         1512.66         .961173
6.59406         1516.51         .960342
6.57733         1520.37         .959994
6.56068         1524.23         .960258
6.54411         1528.09         .960322
6.52762         1531.95         .959948
6.51122         1535.81         .960633
6.4949          1539.67         .961138
6.47867         1543.53         .962025
6.46251         1547.38         .961324
6.44644         1551.24         .960638
6.43044         1555.1          .960142
6.41452         1558.96         .959485
6.39868         1562.82         .959574
6.38292         1566.68         .959159
6.36724         1570.54         .959357
6.35163         1574.4          .96002
6.3361          1578.26         .960525
6.32065         1582.11         .960916
6.30527         1585.97         .960572
6.28997         1589.83         .960277
6.27474         1593.69         .96009
6.25958         1597.55         .959907
6.2445          1601.41         .96
6.22949         1605.27         .959914
6.21455         1609.13         .959852
6.19968         1612.98         .959648
6.18489         1616.84         .959396
6.17016         1620.7          .959347
6.1555          1624.56         .959588
6.14092         1628.42         .959493
6.1264          1632.28         .958826
6.11195         1636.14         .957736
6.09757         1640            .9571
6.08326         1643.86         .956738
6.06901         1647.71         .956638
6.05483         1651.57         .957424
6.04072         1655.43         .958531
6.02667         1659.29         .959411
6.01268         1663.15         .959652
5.99877         1667.01         .959839
5.98491         1670.87         .960258
5.97112         1674.73         .960301
5.9574          1678.58         .960145
5.94373         1682.44         .959955
5.93013         1686.3          .959181
5.91659         1690.16         .9584
5.90311         1694.02         .9565
5.8897          1697.88         .954964
5.87634         1701.74         .952851
5.86305         1705.6          .951906
5.84981         1709.46         .950438
5.83664         1713.31         .949638
5.82352         1717.17         .948507
5.81046         1721.03         .94773
5.79746         1724.89         .947846
5.78452         1728.75         .950147
5.77164         1732.61         .954115
5.75882         1736.47         .959416
5.74605         1740.33         .964763
5.73333         1744.18         .968807
5.72068         1748.04         .971051
5.70808         1751.9          .971314
5.69553         1755.76         .971535
5.68304         1759.62         .971107
5.67061         1763.48         .970176
5.65822         1767.34         .9696
5.6459          1771.2          .968888
5.63362         1775.06         .968738
5.6214          1778.91         .968599
5.60924         1782.77         .967951
5.59712         1786.63         .967046
5.58506         1790.49         .965553
5.57305         1794.35         .964854
5.56109         1798.21         .96455
5.54918         1802.07         .964501
5.53732         1805.93         .964495
5.52552         1809.78         .964481
5.51376         1813.64         .964147
5.50205         1817.5          .964862
5.4904          1821.36         .964993
5.47879         1825.22         .964987
5.46723         1829.08         .964033
5.45572         1832.94         .963619
5.44426         1836.8          .963427
5.43284         1840.66         .963411
5.42148         1844.51         .96359
5.41016         1848.37         .963691
5.39889         1852.23         .963926
5.38766         1856.09         .964112
5.37649         1859.95         .964346
5.36536         1863.81         .963819
5.35427         1867.67         .963604
5.34323         1871.53         .963272
5.33224         1875.38         .963767
5.32129         1879.24         .963242
5.31038         1883.1          .963514
5.29952         1886.96         .963393
5.28871         1890.82         .964095
5.27794         1894.68         .964366
5.26721         1898.54         .96455
5.25652         1902.4          .964234
5.24588         1906.25         .964
5.23529         1910.11         .963582
5.22473         1913.97         .963241
5.21422         1917.83         .963068
5.20375         1921.69         .963179
5.19332         1925.55         .963035
5.18293         1929.41         .963095
5.17259         1933.27         .963352
5.16228         1937.13         .963442
5.15202         1940.98         .963155
5.1418          1944.84         .962576
5.13162         1948.7          .962364
5.12148         1952.56         .962587
5.11137         1956.42         .962931
5.10131         1960.28         .963226
5.09129         1964.14         .962942
5.08131         1968            .962636
5.07136         1971.85         .96255
5.06146         1975.71         .962913
5.05159         1979.57         .963186
5.04176         1983.43         .963444
5.03197         1987.29         .963056
5.02222         1991.15         .963036
5.01251         1995.01         .963102
5.00283         1998.87         .963499
4.99319         2002.73         .96343
4.98359         2006.58         .963561
4.97402         2010.44         .963441
4.9645          2014.3          .962931
4.955           2018.16         .962269
4.94555         2022.02         .962002
4.93613         2025.88         .962866
4.92674         2029.74         .963268
4.91739         2033.6          .963509
4.90808         2037.45         .963057
4.8988          2041.31         .962585
4.88956         2045.17         .962636
4.88035         2049.03         .96268
4.87118         2052.89         .962929
4.86204         2056.75         .96261
4.85293         2060.61         .962365
4.84386         2064.47         .962486
4.83483         2068.33         .963212
4.82582         2072.18         .96383
4.81685         2076.04         .963773
4.80792         2079.9          .963271
4.79901         2083.76         .963112
4.79014         2087.62         .96325
4.7813          2091.48         .962942
4.7725          2095.34         .963205
4.76373         2099.2          .963282
4.75498         2103.05         .963124
4.74628         2106.91         .962654
4.7376          2110.77         .962806
4.72895         2114.63         .963377
4.72034         2118.49         .963213
4.71176         2122.35         .962638
4.70321         2126.21         .96195
4.69469         2130.07         .961881
4.6862          2133.93         .961661
4.67774         2137.78         .962495
4.66931         2141.64         .96236
4.66091         2145.5          .96308
4.65254         2149.36         .962428
4.64421         2153.22         .962651
4.6359          2157.08         .96214
4.62762         2160.94         .962302
4.61937         2164.8          .96178
4.61115         2168.65         .961788
4.60296         2172.51         .961876
4.5948          2176.37         .962442
4.58667         2180.23         .962584
4.57856         2184.09         .962405
4.57049         2187.95         .962536
4.56244         2191.81         .962626
4.55442         2195.67         .96329
4.54643         2199.53         .963281
4.53847         2203.38         .963748
4.53054         2207.24         .963556
4.52263         2211.1          .963878
4.51475         2214.96         .963253
4.5069          2218.82         .962958
4.49907         2222.68         .962239
4.49128         2226.54         .96224
4.48351         2230.4          .962514
4.47576         2234.25         .962871
4.46805         2238.11         .963289
4.46036         2241.97         .963453
4.45269         2245.83         .962938
4.44505         2249.69         .962485
4.43744         2253.55         .962731
4.42986         2257.41         .963429
4.4223          2261.27         .963609
4.41476         2265.13         .96322
4.40726         2268.98         .962959
4.39977         2272.84         .963215
4.39232         2276.7          .963721
4.38488         2280.56         .963683
4.37748         2284.42         .963968
4.3701          2288.28         .964162
4.36274         2292.14         .962639
4.35541         2296            .963322
4.3481          2299.85         .963667
4.34082         2303.71         .963952
4.33356         2307.57         .963702
4.32632         2311.43         .963783
4.31911         2315.29         .963572
4.31192         2319.15         .963634
4.30476         2323.01         .96313
4.29762         2326.87         .96304
4.29051         2330.72         .963143
4.28342         2334.58         .963595
4.27635         2338.44         .963589
4.2693          2342.3          .96354
4.26228         2346.16         .96313
4.25528         2350.02         .962867
4.24831         2353.88         .963037
4.24135         2357.74         .963673
4.23442         2361.6          .963968
4.22751         2365.45         .963914
4.22063         2369.31         .963531
4.21377         2373.17         .96369
4.20693         2377.03         .963912
4.20011         2380.89         .964105
4.19331         2384.75         .964533
4.18654         2388.61         .964558
4.17978         2392.47         .96387
4.17305         2396.32         .964049
4.16635         2400.18         .964289
4.15966         2404.04         .964151
4.15299         2407.9          .964028
4.14635         2411.76         .963687
4.13972         2415.62         .96389
4.13312         2419.48         .964311
4.12654         2423.34         .964021
4.11998         2427.2          .96384
4.11344         2431.05         .963772
4.10692         2434.91         .964319
4.10042         2438.77         .963889
4.09394         2442.63         .963626
4.08749         2446.49         .963322
4.08105         2450.35         .963249
4.07463         2454.21         .963344
4.06824         2458.07         .963917
4.06186         2461.92         .964327
4.0555          2465.78         .964609
4.04917         2469.64         .964104
4.04285         2473.5          .964165
4.03655         2477.36         .964103
4.03027         2481.22         .964526
4.02402         2485.08         .965098
4.01778         2488.94         .964953
4.01156         2492.8          .965101
4.00536         2496.65         .964775
3.99918         2500.51         .964911
3.99301         2504.37         .964351
3.98687         2508.23         .964353
3.98075         2512.09         .964207
3.97464         2515.95         .964105
3.96856         2519.81         .964388
3.96249         2523.67         .96481
3.95644         2527.52         .964534
3.95041         2531.38         .964301
3.94439         2535.24         .964371
3.9384          2539.1          .96507
3.93242         2542.96         .964987
3.92646         2546.82         .965208
3.92052         2550.68         .965872
3.9146          2554.54         .966562
3.9087          2558.4          .966426
3.90281         2562.25         .96595
3.89694         2566.11         .965639
3.89109         2569.97         .965871
3.88526         2573.83         .965844
3.87944         2577.69         .965924
3.87364         2581.55         .965401
3.86786         2585.41         .964769
3.8621          2589.27         .964516
3.85635         2593.12         .964965
3.85062         2596.98         .965695
3.84491         2600.84         .965768
3.83921         2604.7          .965632
3.83353         2608.56         .965068
3.82787         2612.42         .964778
3.82222         2616.28         .964984
3.81659         2620.14         .965995
3.81098         2624            .965957
3.80538         2627.85         .965969
3.7998          2631.71         .965074
3.79424         2635.57         .966066
3.78869         2639.43         .965594
3.78316         2643.29         .96573
3.77765         2647.15         .965038
3.77215         2651.01         .96496
3.76667         2654.87         .964778
3.7612          2658.72         .964977
3.75575         2662.58         .965385
3.75031         2666.44         .965893
3.74489         2670.3          .965276
3.73949         2674.16         .964453
3.7341          2678.02         .964004
3.72873         2681.88         .964209
3.72337         2685.74         .964938
3.71803         2689.59         .965195
3.7127          2693.45         .965081
3.70739         2697.31         .965085
3.7021          2701.17         .965013
3.69681         2705.03         .965424
3.69155         2708.89         .965238
3.6863          2712.75         .96483
3.68106         2716.61         .964475
3.67584         2720.47         .964682
3.67063         2724.32         .965543
3.66544         2728.18         .965311
3.66026         2732.04         .964866
3.6551          2735.9          .964312
3.64995         2739.76         .96422
3.64482         2743.62         .964305
3.6397          2747.48         .964105
3.6346          2751.34         .964903
3.6295          2755.19         .964892
3.62443         2759.05         .964111
3.61937         2762.91         .963162
3.61432         2766.77         .963001
3.60928         2770.63         .963515
3.60427         2774.49         .964183
3.59926         2778.35         .964063
3.59427         2782.21         .964597
3.58929         2786.07         .964568
3.58432         2789.92         .96455
3.57937         2793.78         .963792
3.57444         2797.64         .962327
3.56951         2801.5          .96146
3.5646          2805.36         .961604
3.55971         2809.22         .962609
3.55482         2813.08         .96261
3.54995         2816.94         .962355
3.5451          2820.79         .962744
3.54025         2824.65         .963934
3.53543         2828.51         .964236
3.53061         2832.37         .963953
3.5258          2836.23         .964057
3.52101         2840.09         .963899
3.51624         2843.95         .96387
3.51147         2847.81         .963637
3.50672         2851.67         .963505
3.50198         2855.52         .963113
3.49726         2859.38         .96324
3.49254         2863.24         .963169
3.48784         2867.1          .963595
3.48315         2870.96         .962864
3.47848         2874.82         .963448
3.47382         2878.68         .96334
3.46917         2882.54         .964094
3.46453         2886.39         .963607
3.4599          2890.25         .963519
3.45529         2894.11         .963257
3.45069         2897.97         .963782
3.4461          2901.83         .963684
3.44152         2905.69         .963283
3.43696         2909.55         .96254
3.43241         2913.41         .962238
3.42787         2917.27         .962072
3.42334         2921.12         .963437
3.41882         2924.98         .963998
3.41432         2928.84         .964211
3.40982         2932.7          .963131
3.40534         2936.56         .96271
3.40087         2940.42         .962525
3.39642         2944.28         .961925
3.39197         2948.14         .961407
3.38754         2951.99         .96113
3.38312         2955.85         .961507
3.3787          2959.71         .961908
3.37431         2963.57         .962241
3.36992         2967.43         .962293
3.36554         2971.29         .961827
3.36118         2975.15         .961473
3.35682         2979.01         .961984
3.35248         2982.87         .963099
3.34815         2986.72         .964625
3.34383         2990.58         .963759
3.33952         2994.44         .96398
3.33522         2998.3          .963027
