#TITLE =Masonry m.cap-Natural
#DATATYPE = DIRECTIONAL HEMISPHERICAL EMISSIVITY SPECTRUM 
#ORIGIN = MODIS GROUP OF ICESS, UCSB
#PI = ZHENGMING WAN
#EMAIL: wan@icess.ucsb.edu
#INSTITUTE FOR COMPUTATIONAL EARTH SCIENCE SYSTEM
#UNIVERSITY OF CALIFORNIA, SANTA BARBARA
#OPERATOR = YULIN ZHANG
#DATE = 0/0/0
#TIME = 0:0
#SPECTROMETER = TIR SPECTROMETER MODEL MIDAC M2510-C
#XUNITS = 1/CM
#YUNITS = ABSOLUTE EMISSIVITY
#FIRSTX = 686.869
#LASTX = 2998.3
#NPOINTS = 600
#DELTAX = 3.85882
#CLASS = FTIR
#FILE NAME:42
#XYDATA=
#X(Micrometer)  #X(cm-1)        #Yvalue
14.5588         686.869         .984771
14.4775         690.728         .98175
14.397          694.587         .984264
14.3175         698.446         .982842
14.2388         702.305         .982915
14.161          706.164         .982197
14.0841         710.022         .981248
14.0079         713.881         .98554
13.9326         717.74          .98376
13.8581         721.599         .981914
13.7844         725.458         .980578
13.7115         729.316         .978943
13.6393         733.175         .977933
13.5679         737.034         .9789
13.4972         740.893         .979068
13.4273         744.752         .978433
13.3581         748.611         .979117
13.2896         752.469         .977069
13.2218         756.328         .978519
13.1546         760.187         .974644
13.0882         764.046         .976147
13.0224         767.905         .974841
12.9573         771.763         .973078
12.8929         775.622         .97018
12.829          779.481         .968697
12.7658         783.34          .968697
12.7033         787.199         .969867
12.6413         791.058         .967295
12.5799         794.916         .966097
12.5192         798.775         .966115
12.459          802.634         .967725
12.3994         806.493         .970182
12.3403         810.352         .972352
12.2818         814.21          .97415
12.2239         818.069         .974859
12.1665         821.928         .975103
12.1097         825.787         .970928
12.0533         829.646         .971245
11.9975         833.505         .96967
11.9422         837.363         .969685
11.8875         841.222         .968832
11.8332         845.081         .96636
11.7794         848.94          .964598
11.7261         852.799         .962085
11.6733         856.657         .96001
11.6209         860.516         .957425
11.569          864.375         .95326
11.5176         868.234         .945785
11.4667         872.093         .94898
11.4161         875.952         .956764
11.3661         879.81          .966557
11.3164         883.669         .972217
11.2672         887.528         .972497
11.2185         891.387         .972001
11.1701         895.246         .97167
11.1222         899.104         .973463
11.0746         902.963         .97331
11.0275         906.822         .971984
10.9808         910.681         .971246
10.9345         914.54          .970946
10.8885         918.399         .971804
10.8429         922.257         .970305
10.7978         926.116         .967759
10.753          929.975         .966562
10.7085         933.834         .96629
10.6645         937.693         .965808
10.6208         941.551         .965674
10.5774         945.41          .965566
10.5344         949.269         .964832
10.4918         953.128         .966997
10.4495         956.987         .965954
10.4075         960.846         .966083
10.3659         964.704         .967743
10.3246         968.563         .968593
10.2836         972.422         .967427
10.2429         976.281         .967873
10.2026         980.14          .968144
10.1626         983.998         .966438
10.1229         987.857         .966763
10.0835         991.716         .966081
10.0444         995.575         .965681
10.0057         999.434         .965299
9.96718         1003.29         .965253
9.92899         1007.15         .966218
9.8911          1011.01         .965452
9.85349         1014.87         .964411
9.81616         1018.73         .966891
9.77912         1022.59         .967075
9.74236         1026.44         .965832
