#TITLE =Red Concrete Brick
#DATATYPE = DIRECTIONAL HEMISPHERICAL EMISSIVITY SPECTRUM 
#ORIGIN = MODIS GROUP OF ICESS, UCSB
#PI = ZHENGMING WAN
#EMAIL: wan@icess.ucsb.edu
#INSTITUTE FOR COMPUTATIONAL EARTH SCIENCE SYSTEM
#UNIVERSITY OF CALIFORNIA, SANTA BARBARA
#OPERATOR = YULIN ZHANG
#DATE = 0/0/0
#TIME = 0:0
#SPECTROMETER = TIR SPECTROMETER MODEL MIDAC M2510-C
#XUNITS = 1/CM
#YUNITS = ABSOLUTE EMISSIVITY
#FIRSTX = 686.869
#LASTX = 2998.3
#NPOINTS = 600
#DELTAX = 3.85882
#CLASS = FTIR
#FILE NAME:02
#XYDATA=
#X(Micrometer)  #X(cm-1)        #Yvalue
14.5588         686.869         .988719
14.4775         690.728         .990698
14.397          694.587         .98575
14.3175         698.446         .987436
14.2388         702.305         .98616
14.161          706.164         .98788
14.0841         710.022         .983554
14.0079         713.881         .985355
13.9326         717.74          .988066
13.8581         721.599         .988963
13.7844         725.458         .985781
13.7115         729.316         .986251
13.6393         733.175         .986762
13.5679         737.034         .987055
13.4972         740.893         .982035
13.4273         744.752         .983505
13.3581         748.611         .980561
13.2896         752.469         .978325
13.2218         756.328         .980769
13.1546         760.187         .980111
13.0882         764.046         .980579
13.0224         767.905         .977504
12.9573         771.763         .977785
12.8929         775.622         .975838
12.829          779.481         .975025
12.7658         783.34          .972852
12.7033         787.199         .974076
12.6413         791.058         .974776
12.5799         794.916         .974357
12.5192         798.775         .974747
12.459          802.634         .973749
12.3994         806.493         .97572
12.3403         810.352         .978959
12.2818         814.21          .978358
12.2239         818.069         .978143
12.1665         821.928         .976329
12.1097         825.787         .975558
12.0533         829.646         .972582
11.9975         833.505         .972328
11.9422         837.363         .973159
11.8875         841.222         .971138
11.8332         845.081         .969315
11.7794         848.94          .96721
11.7261         852.799         .963575
11.6733         856.657         .964087
11.6209         860.516         .962389
11.569          864.375         .959623
11.5176         868.234         .953083
11.4667         872.093         .950855
11.4161         875.952         .960534
11.3661         879.81          .969687
11.3164         883.669         .97388
11.2672         887.528         .9737
11.2185         891.387         .975529
11.1701         895.246         .972788
11.1222         899.104         .973129
11.0746         902.963         .972009
11.0275         906.822         .97298
10.9808         910.681         .973455
10.9345         914.54          .973749
10.8885         918.399         .971218
10.8429         922.257         .969078
10.7978         926.116         .967538
10.753          929.975         .966015
10.7085         933.834         .964867
10.6645         937.693         .965077
10.6208         941.551         .963795
10.5774         945.41          .962558
10.5344         949.269         .963404
10.4918         953.128         .965058
10.4495         956.987         .965473
10.4075         960.846         .965751
10.3659         964.704         .96606
10.3246         968.563         .967896
10.2836         972.422         .966985
10.2429         976.281         .968252
10.2026         980.14          .968939
10.1626         983.998         .968563
10.1229         987.857         .969795
10.0835         991.716         .969352
10.0444         995.575         .968592
10.0057         999.434         .969483
9.96718         1003.29         .96843
9.92899         1007.15         .969525
9.8911          1011.01         .969485
9.85349         1014.87         .968702
9.81616         1018.73         .969503
9.77912         1022.59         .970899
9.74236         1026.44         .969919
9.70587         1030.3          .970953
9.66965         1034.16         .970876
9.63371         1038.02         .970936
9.59803         1041.88         .970129
9.56261         1045.74         .969554
9.52745         1049.6          .967807
9.49255         1053.46         .965169
9.45791         1057.32         .963146
9.42352         1061.17         .960984
9.38937         1065.03         .959634
9.35548         1068.89         .956791
9.32182         1072.75         .955845
9.28841         1076.61         .954464
9.25524         1080.47         .954516
9.2223          1084.33         .956097
9.1896          1088.19         .95372
9.15713         1092.04         .953501
9.12488         1095.9          .956554
9.09287         1099.76         .95508
9.06107         1103.62         .953999
9.0295          1107.48         .955666
8.99815         1111.34         .953266
8.96701         1115.2          .953093
8.93609         1119.06         .952101
8.90538         1122.91         .951257
8.87489         1126.77         .950076
8.8446          1130.63         .948926
8.81451         1134.49         .950485
8.78463         1138.35         .948503
8.75496         1142.21         .948347
8.72548         1146.07         .947223
8.6962          1149.93         .945865
8.66711         1153.79         .947039
8.63822         1157.64         .946098
8.60952         1161.5          .947107
8.58102         1165.36         .943978
8.5527          1169.22         .940582
8.52456         1173.08         .938609
8.49661         1176.94         .935494
8.46885         1180.8          .933946
8.44126         1184.66         .930091
8.41385         1188.51         .927994
8.38662         1192.37         .925606
8.35957         1196.23         .923011
8.33269         1200.09         .922123
8.30598         1203.95         .920875
8.27945         1207.81         .919518
8.25308         1211.67         .918442
8.22688         1215.53         .918638
8.20084         1219.39         .918698
8.17497         1223.24         .919646
8.14927         1227.1          .923903
8.12372         1230.96         .925529
8.09833         1234.82         .925533
8.07311         1238.68         .929212
8.04803         1242.54         .935999
8.02312         1246.4          .935882
7.99835         1250.26         .93738
7.97374         1254.11         .937968
7.94929         1257.97         .940183
7.92498         1261.83         .940516
7.90081         1265.69         .942524
7.8768          1269.55         .943536
7.85293         1273.41         .943193
7.82921         1277.27         .941992
7.80562         1281.13         .944775
7.78218         1284.99         .942467
7.75888         1288.84         .944856
7.73572         1292.7          .945133
7.7127          1296.56         .943334
7.68981         1300.42         .94262
7.66706         1304.28         .941182
7.64445         1308.14         .943318
7.62196         1312            .941259
7.59961         1315.86         .94261
7.57739         1319.71         .941543
7.5553          1323.57         .940224
7.53333         1327.43         .941689
7.5115          1331.29         .941547
7.48979         1335.15         .940066
7.4682          1339.01         .941002
7.44674         1342.87         .939211
7.42541         1346.73         .938047
7.40419         1350.59         .938127
7.3831          1354.44         .936099
7.36212         1358.3          .934457
7.34127         1362.16         .934059
7.32053         1366.02         .933885
7.29991         1369.88         .930695
7.2794          1373.74         .92869
7.25901         1377.6          .924751
7.23873         1381.46         .921992
7.21857         1385.31         .917089
7.19852         1389.17         .912286
7.17858         1393.03         .90723
7.15875         1396.89         .905232
7.13903         1400.75         .902368
7.11941         1404.61         .899144
7.09991         1408.47         .896012
7.08051         1412.33         .901827
7.06122         1416.19         .904767
7.04203         1420.04         .911323
7.02295         1423.9          .912936
7.00396         1427.76         .91614
6.98509         1431.62         .920047
6.96631         1435.48         .921907
6.94763         1439.34         .925443
6.92906         1443.2          .926668
6.91058         1447.06         .928376
6.8922          1450.91         .931689
6.87392         1454.77         .93481
6.85573         1458.63         .937279
6.83764         1462.49         .936052
6.81965         1466.35         .9347
6.80175         1470.21         .934515
6.78394         1474.07         .936877
6.76623         1477.93         .93741
6.74861         1481.79         .937017
6.73108         1485.64         .935714
6.71364         1489.5          .938628
