#TITLE =U.S. Tile (2pc)
#DATATYPE = DIRECTIONAL HEMISPHERICAL EMISSIVITY SPECTRUM 
#ORIGIN = MODIS GROUP OF ICESS, UCSB
#PI = ZHENGMING WAN
#EMAIL: wan@icess.ucsb.edu
#INSTITUTE FOR COMPUTATIONAL EARTH SCIENCE SYSTEM
#UNIVERSITY OF CALIFORNIA, SANTA BARBARA
#OPERATOR = YULIN ZHANG
#DATE = 0/0/0
#TIME = 0:0
#SPECTROMETER = TIR SPECTROMETER MODEL MIDAC M2510-C
#XUNITS = 1/CM
#YUNITS = ABSOLUTE EMISSIVITY
#FIRSTX = 686.869
#LASTX = 2998.3
#NPOINTS = 600
#DELTAX = 3.85882
#CLASS = FTIR
#FILE NAME:23
#XYDATA=
#X(Micrometer)  #X(cm-1)        #Yvalue
14.5588         686.869         .981145
14.4775         690.728         .980836
14.397          694.587         .982142
14.3175         698.446         .982409
14.2388         702.305         .982521
14.161          706.164         .975596
14.0841         710.022         .982968
14.0079         713.881         .98149
13.9326         717.74          .980077
13.8581         721.599         .980728
13.7844         725.458         .985165
13.7115         729.316         .976879
13.6393         733.175         .977617
13.5679         737.034         .980141
13.4972         740.893         .979842
13.4273         744.752         .977814
13.3581         748.611         .97773
13.2896         752.469         .974807
13.2218         756.328         .976279
13.1546         760.187         .972529
13.0882         764.046         .974281
13.0224         767.905         .973932
12.9573         771.763         .974502
12.8929         775.622         .971533
12.829          779.481         .970876
12.7658         783.34          .974852
12.7033         787.199         .975674
12.6413         791.058         .972343
12.5799         794.916         .977862
12.5192         798.775         .97764
12.459          802.634         .976094
12.3994         806.493         .978221
12.3403         810.352         .97904
12.2818         814.21          .976438
12.2239         818.069         .974804
12.1665         821.928         .975616
12.1097         825.787         .973376
12.0533         829.646         .971227
11.9975         833.505         .969558
11.9422         837.363         .968112
11.8875         841.222         .966853
11.8332         845.081         .96386
11.7794         848.94          .964732
11.7261         852.799         .961352
11.6733         856.657         .960814
11.6209         860.516         .960209
11.569          864.375         .958891
11.5176         868.234         .958978
11.4667         872.093         .959097
11.4161         875.952         .95593
11.3661         879.81          .955492
11.3164         883.669         .95623
11.2672         887.528         .955437
11.2185         891.387         .953618
11.1701         895.246         .95444
11.1222         899.104         .952958
11.0746         902.963         .951573
11.0275         906.822         .950994
10.9808         910.681         .950778
10.9345         914.54          .950014
10.8885         918.399         .950849
10.8429         922.257         .952132
10.7978         926.116         .952244
10.753          929.975         .950171
10.7085         933.834         .951048
10.6645         937.693         .951261
10.6208         941.551         .950007
10.5774         945.41          .95077
10.5344         949.269         .950022
10.4918         953.128         .950189
10.4495         956.987         .948911
10.4075         960.846         .945949
10.3659         964.704         .943991
10.3246         968.563         .940783
10.2836         972.422         .939751
10.2429         976.281         .937133
10.2026         980.14          .934152
10.1626         983.998         .930972
10.1229         987.857         .929302
10.0835         991.716         .925704
10.0444         995.575         .923655
10.0057         999.434         .920855
9.96718         1003.29         .917434
9.92899         1007.15         .9156
9.8911          1011.01         .914158
9.85349         1014.87         .908961
9.81616         1018.73         .909759
9.77912         1022.59         .906927
9.74236         1026.44         .904816
9.70587         1030.3          .904073
9.66965         1034.16         .89737
9.63371         1038.02         .897381
9.59803         1041.88         .897072
9.56261         1045.74         .897563
9.52745         1049.6          .896779
